split,baseline,selector,setting,n,auc,avg_precision,base_high_rate,accept_rate,accepted_high_rate,high_recall_abstained,mean_workload_accepted,mean_workload_abstained,workload_share_abstained
temporal,logistic_all_features,calibration_risk_budget,0.1,6720,0.8995792989798805,0.4932001977440957,0.1415178571428571,0.8418154761904761,0.0740675269577514,0.5594111461619348,1.692593247304225,11.650047036688616,0.563960107473018
temporal,selective_uncertainty_only,calibration_risk_budget,0.1,6720,0.7118906137247943,0.2792531665595363,0.1415178571428571,0.703125,0.0819047619047619,0.5930599369085173,2.031111111111111,6.196491228070175,0.562958240357029
temporal,cost_sensitive_workload_logistic,calibration_risk_budget,0.1,6720,0.8992787331542333,0.4937788759842608,0.1415178571428571,0.8430059523809523,0.0741394527802294,0.5583596214511041,1.6896734333627537,11.741232227488153,0.5640967257161073
temporal,logistic_no_agent,calibration_risk_budget,0.1,6720,0.8934394810072108,0.497226758783805,0.1415178571428571,0.8461309523809524,0.0742173760112557,0.5562565720294427,1.6839606049947238,11.97678916827853,0.563960107473018
temporal,categorical_prior,calibration_risk_budget,0.1,6720,0.8848259643670009,0.4782678482867277,0.1415178571428571,0.8220238095238095,0.0706010137581462,0.5899053627760252,1.725199131064446,10.392140468227424,0.5660093811193588
temporal,simple_text_threshold,calibration_risk_budget,0.1,6720,0.7858863110220168,0.4172056344380752,0.1415178571428571,0.815327380952381,0.0757437488592809,0.5636172450052577,1.699580215367768,10.190975020145045,0.5759369734505214
repository_disjoint,logistic_all_features,calibration_risk_budget,0.1,3482,0.7644283975055994,0.5406955935065365,0.3322802986789201,0.3127512923607122,0.078971533516988,0.9256698357821952,1.37465564738292,9.042624320936063,0.935295643153527
repository_disjoint,selective_uncertainty_only,calibration_risk_budget,0.1,3482,0.3760078437932733,0.2755929748998343,0.3322802986789201,0.0002871912693854,1.0,0.9991356957649092,16.0,6.6417696064349325,0.9993084370677732
repository_disjoint,cost_sensitive_workload_logistic,calibration_risk_budget,0.1,3482,0.7652774602466521,0.5406958341530111,0.3322802986789201,0.3038483630097645,0.0765595463137996,0.9299913569576492,1.330812854442344,8.963696369636963,0.9391424619640388
repository_disjoint,logistic_no_agent,calibration_risk_budget,0.1,3482,0.7257741099060417,0.5169513881756292,0.3322802986789201,0.2725445146467547,0.107481559536354,0.9118409680207432,1.9072708113804004,8.419265692854323,0.9217669432918396
repository_disjoint,categorical_prior,calibration_risk_budget,0.1,3482,0.7488237098168232,0.534004797586424,0.3322802986789201,0.3049971280873061,0.0941619585687382,0.9135695764909249,1.783427495291902,8.777685950413224,0.9181362378976486
repository_disjoint,simple_text_threshold,calibration_risk_budget,0.1,3482,0.660309104933969,0.4977802141981341,0.3322802986789201,0.0008615738081562,0.0,1.0,0.0,6.650186835297499,1.0
