split,selector,risk_budget,bootstrap_unit,bootstrap_rounds,bootstrap_valid_rounds,test_rows,test_repositories,metric,point,ci_low,ci_high,features,high_workload_threshold,score_threshold,calibrated_acceptance_target,calibrated_accepted_high_rate
temporal,calibration_risk_budget,0.1,repo,500,500,6720,761,auc,0.8995792989798805,0.692296227139145,0.95578715579887,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972
temporal,calibration_risk_budget,0.1,repo,500,500,6720,761,average_precision,0.49320019774409574,0.4421399658676052,0.5462167977814186,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972
temporal,calibration_risk_budget,0.1,repo,500,500,6720,761,brier,0.11898227426162053,0.05752960125187407,0.27927442542297115,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972
temporal,calibration_risk_budget,0.1,repo,500,500,6720,761,high_workload_rate,0.14151785714285714,0.06360279530287542,0.3594867452368445,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972
temporal,calibration_risk_budget,0.1,repo,500,500,6720,761,acceptance_rate,0.8418154761904761,0.5967055913759846,0.9298535285782421,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972
temporal,calibration_risk_budget,0.1,repo,500,500,6720,761,accepted_high_workload_rate,0.07406752695775146,0.028721640221503884,0.2540513559639099,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972
temporal,calibration_risk_budget,0.1,repo,500,500,6720,761,high_workload_recall_by_abstention,0.5594111461619348,0.4956816805242002,0.6229082034325302,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972
temporal,calibration_risk_budget,0.1,repo,500,500,6720,761,abstention_precision_for_high_workload,0.5004703668861712,0.4517710476740927,0.5502938924501424,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972
temporal,calibration_risk_budget,0.1,repo,500,500,6720,761,mean_workload_accepted,1.692593247304225,0.6839422556429823,5.776389420314748,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972
temporal,calibration_risk_budget,0.1,repo,500,500,6720,761,mean_workload_abstained,11.650047036688617,10.371163680962617,13.209047505889998,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972
temporal,calibration_risk_budget,0.1,repo,500,500,6720,761,workload_share_abstained,0.563960107473018,0.5041081346637611,0.6251355981735653,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972
