split,metric,point_95ci,bootstrap_unit,bootstrap_rounds,bootstrap_valid_rounds
temporal,AUC,"0.900 [0.692, 0.956]",repo,500,500
temporal,Average precision,"0.493 [0.442, 0.546]",repo,500,500
temporal,High workload base rate,"0.142 [0.064, 0.359]",repo,500,500
temporal,Acceptance rate,"0.842 [0.597, 0.930]",repo,500,500
temporal,Accepted high workload rate,"0.074 [0.029, 0.254]",repo,500,500
temporal,High workload recall by routing,"0.559 [0.496, 0.623]",repo,500,500
temporal,Mean workload accepted,"1.693 [0.684, 5.776]",repo,500,500
temporal,Mean workload routed,"11.650 [10.371, 13.209]",repo,500,500
temporal,Workload share routed,"0.564 [0.504, 0.625]",repo,500,500
repository_disjoint,AUC,"0.764 [0.702, 0.814]",repo,500,500
repository_disjoint,Average precision,"0.541 [0.477, 0.613]",repo,500,500
repository_disjoint,High workload base rate,"0.332 [0.254, 0.401]",repo,500,500
repository_disjoint,Acceptance rate,"0.313 [0.223, 0.417]",repo,500,500
repository_disjoint,Accepted high workload rate,"0.079 [0.049, 0.122]",repo,500,500
repository_disjoint,High workload recall by routing,"0.926 [0.888, 0.953]",repo,500,500
repository_disjoint,Mean workload accepted,"1.375 [0.929, 2.025]",repo,500,500
repository_disjoint,Mean workload routed,"9.043 [7.293, 10.712]",repo,500,500
repository_disjoint,Workload share routed,"0.935 [0.899, 0.959]",repo,500,500
