id,repo_id,number,html_url,agent,created_at,closed_at,merged_at,feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_changed_files,feature_additions,feature_deletions,feature_initial_commit_count,feature_initial_review_comment_count_api,feature_initial_issue_comment_count_api,feature_churn,feature_repo_stars,repo_language,feature_task_type,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,outcome_commit_detail_changed_files,outcome_commit_detail_additions,outcome_commit_detail_deletions,outcome_commit_detail_churn,outcome_followup_detail_changed_files,outcome_followup_detail_additions,outcome_followup_detail_deletions,outcome_followup_detail_churn,outcome_followup_detail_test_files,outcome_review_count,outcome_request_changes_count,outcome_human_review_count,outcome_inline_review_comment_count,outcome_issue_comment_count,outcome_commit_count,outcome_followup_commit_count,outcome_commit_detail_rows,outcome_timeline_event_count,outcome_related_issue_count,outcome_merged,outcome_resolution_hours,outcome_downstream_workload_raw,outcome_downstream_workload_log
3264933329,191751505,2911,https://github.com/milvus-io/pymilvus/pull/2911,Claude_Code,2025-07-26 02:59:01+00:00,2025-07-29 07:01:20+00:00,,75.0,1928.0,0.0,1.0,1.0,3.0,394.0,2.0,0.0,0.0,0.0,396.0,1230.0,Python,fix,10.0,3.0,394.0,2.0,396.0,1.0,2.0,0.0,1.0,3.0,394.0,2.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,10.0,0.0,0.0,76.03861111111111,2.0,1.0986122886681098
3265118634,1025472321,2,https://github.com/classmethod/tsumiki/pull/2,Claude_Code,2025-07-26 04:56:55+00:00,2025-07-26 22:12:24+00:00,2025-07-26 22:12:24+00:00,32.0,649.0,0.0,0.0,0.0,11.0,38.0,38.0,0.0,0.0,0.0,76.0,391.0,TypeScript,refactor,9.0,11.0,38.0,38.0,76.0,0.0,11.0,0.0,0.0,11.0,38.0,38.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,5.0,0.0,1.0,17.258055555555554,0.0,0.0
3265640341,988488798,30,https://github.com/steipete/Peekaboo/pull/30,Claude_Code,2025-07-26 13:31:19+00:00,2025-07-26 13:37:22+00:00,2025-07-26 13:37:22+00:00,43.0,4516.0,1.0,1.0,1.0,1.0,71.0,0.0,0.0,0.0,0.0,71.0,505.0,Swift,feat,10.0,1.0,71.0,0.0,71.0,0.0,1.0,0.0,0.0,5.0,298.0,109.0,407.0,5.0,227.0,109.0,336.0,0.0,2.0,0.0,1.0,2.0,0.0,6.0,5.0,9.0,12.0,0.0,1.0,0.10083333333333333,9.0,2.302585092994046
3265709660,999285986,205,https://github.com/sugyan/claude-code-webui/pull/205,Claude_Code,2025-07-26 14:07:22+00:00,2025-07-26 14:45:30+00:00,2025-07-26 14:45:30+00:00,64.0,2222.0,0.0,1.0,1.0,11.0,263.0,1.0,0.0,0.0,0.0,264.0,367.0,TypeScript,feat,10.0,11.0,263.0,1.0,264.0,9.0,2.0,0.0,0.0,15.0,288.0,12.0,300.0,7.0,25.0,11.0,36.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,18.0,11.0,0.0,1.0,0.6355555555555555,5.0,1.791759469228055
3265782173,537233603,17625,https://github.com/paradigmxyz/reth/pull/17625,Claude_Code,2025-07-26 15:02:48+00:00,,,43.0,327.0,0.0,0.0,0.0,21.0,53.0,168.0,0.0,0.0,0.0,221.0,4835.0,Rust,chore,10.0,21.0,53.0,168.0,221.0,0.0,21.0,0.0,2.0,21.0,53.0,168.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,10.0,0.0,0.0,,0.0,0.0
3231949586,3729629,32656,https://github.com/dotCMS/core/pull/32656,Claude_Code,2025-07-15 11:46:41+00:00,,,89.0,4905.0,0.0,1.0,0.0,25.0,2702.0,545.0,0.0,0.0,0.0,3247.0,912.0,Java,feat,10.0,25.0,2702.0,545.0,3247.0,1.0,24.0,0.0,2.0,25.0,2702.0,545.0,3247.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,25.0,17.0,0.0,0.0,,5.0,1.791759469228055
3231950376,3729629,32657,https://github.com/dotCMS/core/pull/32657,Claude_Code,2025-07-15 11:46:57+00:00,,,75.0,2486.0,0.0,1.0,0.0,127.0,5950.0,18.0,0.0,0.0,0.0,5968.0,912.0,Java,feat,10.0,127.0,5950.0,18.0,5968.0,115.0,12.0,0.0,7.0,157.0,12061.0,1827.0,13888.0,38.0,6111.0,1809.0,7920.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,168.0,11.0,0.0,0.0,,7.0,2.0794415416798357
3231951012,3729629,32658,https://github.com/dotCMS/core/pull/32658,Claude_Code,2025-07-15 11:47:12+00:00,,,72.0,2446.0,0.0,1.0,0.0,127.0,5950.0,18.0,0.0,0.0,0.0,5968.0,912.0,Java,feat,10.0,127.0,5950.0,18.0,5968.0,115.0,12.0,0.0,7.0,171.0,20084.0,3822.0,23906.0,52.0,14134.0,3804.0,17938.0,5.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,183.0,12.0,0.0,0.0,,8.0,2.1972245773362196
3231951656,3729629,32659,https://github.com/dotCMS/core/pull/32659,Claude_Code,2025-07-15 11:47:27+00:00,,,64.0,2536.0,0.0,1.0,0.0,127.0,5950.0,18.0,0.0,0.0,0.0,5968.0,912.0,Java,feat,10.0,127.0,5950.0,18.0,5968.0,115.0,12.0,0.0,7.0,186.0,22886.0,4176.0,27062.0,67.0,16936.0,4158.0,21094.0,6.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,199.0,12.0,0.0,0.0,,9.0,2.302585092994046
3231952364,3729629,32660,https://github.com/dotCMS/core/pull/32660,Claude_Code,2025-07-15 11:47:43+00:00,,,68.0,2472.0,0.0,1.0,0.0,127.0,5950.0,18.0,0.0,0.0,0.0,5968.0,912.0,Java,feat,10.0,127.0,5950.0,18.0,5968.0,115.0,12.0,0.0,7.0,198.0,25394.0,4826.0,30220.0,79.0,19444.0,4808.0,24252.0,6.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,212.0,13.0,0.0,0.0,,10.0,2.3978952727983707
3231953027,3729629,32661,https://github.com/dotCMS/core/pull/32661,Claude_Code,2025-07-15 11:47:59+00:00,,,72.0,2448.0,0.0,1.0,0.0,127.0,5652.0,21.0,0.0,0.0,0.0,5673.0,912.0,Java,feat,10.0,127.0,5652.0,21.0,5673.0,115.0,12.0,0.0,7.0,214.0,28867.0,5136.0,34003.0,88.0,23215.0,5115.0,28330.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,220.0,9.0,0.0,0.0,,7.0,2.0794415416798357
3231953757,3729629,32662,https://github.com/dotCMS/core/pull/32662,Claude_Code,2025-07-15 11:48:16+00:00,,,77.0,2579.0,0.0,1.0,0.0,127.0,5652.0,21.0,0.0,0.0,0.0,5673.0,912.0,Java,feat,10.0,127.0,5652.0,21.0,5673.0,115.0,12.0,0.0,7.0,231.0,34297.0,6213.0,40510.0,105.0,28645.0,6192.0,34837.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,238.0,10.0,0.0,0.0,,8.0,2.1972245773362196
3231954470,3729629,32663,https://github.com/dotCMS/core/pull/32663,Claude_Code,2025-07-15 11:48:32+00:00,,,69.0,2330.0,0.0,1.0,0.0,127.0,5652.0,21.0,0.0,0.0,0.0,5673.0,912.0,Java,feat,10.0,127.0,5652.0,21.0,5673.0,115.0,12.0,0.0,7.0,244.0,36848.0,6613.0,43461.0,118.0,31196.0,6592.0,37788.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,253.0,11.0,0.0,0.0,,9.0,2.302585092994046
3231955292,3729629,32664,https://github.com/dotCMS/core/pull/32664,Claude_Code,2025-07-15 11:48:51+00:00,,,67.0,2450.0,0.0,1.0,0.0,127.0,5652.0,21.0,0.0,0.0,0.0,5673.0,912.0,Java,feat,10.0,127.0,5652.0,21.0,5673.0,115.0,12.0,0.0,7.0,248.0,36848.0,6699.0,43547.0,122.0,31196.0,6678.0,37874.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,257.0,13.0,0.0,0.0,,10.0,2.3978952727983707
3232028428,69605218,24,https://github.com/alariq/mc2/pull/24,Claude_Code,2025-07-15 12:14:21+00:00,,,22.0,957.0,1.0,1.0,0.0,1.0,25.0,6.0,0.0,0.0,0.0,31.0,127.0,C++,build,9.0,1.0,25.0,6.0,31.0,0.0,1.0,0.0,0.0,5.0,798.0,451.0,1249.0,5.0,773.0,445.0,1218.0,0.0,1.0,0.0,0.0,4.0,0.0,5.0,4.0,8.0,7.0,0.0,0.0,,9.0,2.302585092994046
3232844270,887571250,359,https://github.com/proximafusion/vmecpp/pull/359,Claude_Code,2025-07-15 16:02:35+00:00,,,52.0,2019.0,0.0,1.0,1.0,8.0,504.0,61.0,0.0,0.0,0.0,565.0,189.0,C++,feat,10.0,8.0,504.0,61.0,565.0,0.0,8.0,0.0,0.0,41.0,6520.0,1578.0,8098.0,37.0,6016.0,1517.0,7533.0,18.0,2.0,0.0,2.0,2.0,6.0,30.0,29.0,95.0,30.0,0.0,0.0,,39.0,3.6888794541139363
3234102722,995029641,318,https://github.com/ruvnet/claude-flow/pull/318,Claude_Code,2025-07-16 01:00:34+00:00,2025-07-17 12:49:29+00:00,,58.0,3629.0,0.0,1.0,1.0,15.0,3302.0,294.0,0.0,0.0,0.0,3596.0,4630.0,TypeScript,chore,10.0,15.0,3302.0,294.0,3596.0,10.0,4.0,1.0,0.0,94.0,13214.0,2497.0,15711.0,84.0,9912.0,2203.0,12115.0,21.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,175.0,9.0,1.0,0.0,35.81527777777778,4.0,1.6094379124341003
