split,metric,metric_label,accepted_minus_routed,ci_low,ci_high,direction
temporal,q_merge_rate,Q: merge rate,0.3296407966819387,0.0910542805091657,0.4031533653387436,higher is better
temporal,q_closed_30d_rate,Q: closed within 30 days,0.20687678549424104,0.09119845972769407,0.2556828384920432,higher is better
temporal,c_initial_burden,C: initial burden proxy,3.687723040951107,1.1210927570998794,4.758365332652526,lower is better
temporal,xi_workload,Xi: downstream workload,-9.957453789384392,-11.764903523899106,-5.598532460381674,lower is better
temporal,v_violation_rate,V: violation-risk proxy,-0.2546021038711768,-0.31092342795623157,-0.12179059155738702,lower is better
temporal,l_proxy,L: composite loss proxy,-0.9841228798791445,-1.6007153310173523,-0.5032343059217366,lower is better
repository_disjoint,q_merge_rate,Q: merge rate,0.25956215269743355,0.1752378885745679,0.3461349018703882,higher is better
repository_disjoint,q_closed_30d_rate,Q: closed within 30 days,0.10528911037971556,0.05658552759141113,0.15877900117269614,higher is better
repository_disjoint,c_initial_burden,C: initial burden proxy,0.9888609434171083,0.3296287796816339,1.724588487105899,lower is better
repository_disjoint,xi_workload,Xi: downstream workload,-7.667968673553143,-9.381926786572876,-6.023642982733665,lower is better
repository_disjoint,v_violation_rate,V: violation-risk proxy,-0.1430745551476471,-0.199242425946991,-0.0958642910251996,lower is better
repository_disjoint,l_proxy,L: composite loss proxy,-1.5277311092700874,-1.8818783324684636,-1.161213866118774,lower is better
