split,subgroup_type,subgroup_value,calibration_rows,calibration_accepted,calibration_accepted_high,calibration_accepted_high_rate,risk_flag,support_flag
temporal,agent,Copilot,1185,370,161,0.43513513513513513,True,False
temporal,agent,Cursor,755,627,160,0.2551834130781499,True,False
temporal,agent,Devin,303,130,40,0.3076923076923077,True,False
temporal,agent,OpenAI_Codex,4377,4375,172,0.03931428571428571,False,False
temporal,repo_language,C#,433,273,26,0.09523809523809523,False,False
temporal,repo_language,C++,105,20,4,0.2,False,True
temporal,repo_language,Go,2775,2753,87,0.03160188884852888,False,False
temporal,repo_language,HTML,151,149,5,0.03355704697986577,False,False
temporal,repo_language,JavaScript,186,135,36,0.26666666666666666,True,False
temporal,repo_language,Kotlin,169,149,6,0.040268456375838924,False,False
temporal,repo_language,Python,1061,942,103,0.10934182590233546,True,False
temporal,repo_language,Rust,195,110,32,0.2909090909090909,True,False
temporal,repo_language,TypeScript,988,574,141,0.2456445993031359,True,False
temporal,feature_task_type,build,134,117,10,0.08547008547008547,False,False
temporal,feature_task_type,chore,167,116,23,0.19827586206896552,True,False
temporal,feature_task_type,ci,119,109,6,0.05504587155963303,False,False
temporal,feature_task_type,docs,588,536,82,0.15298507462686567,True,False
temporal,feature_task_type,feat,3211,2648,189,0.07137462235649547,False,False
temporal,feature_task_type,fix,1464,1146,177,0.1544502617801047,True,False
temporal,feature_task_type,refactor,444,336,23,0.06845238095238096,False,False
temporal,feature_task_type,test,464,438,32,0.0730593607305936,False,False
temporal,repo_star_bucket,101-1000,5059,4612,293,0.06352992194275803,False,False
temporal,repo_star_bucket,>1000,1660,949,263,0.27713382507903056,True,False
temporal,initial_churn_bucket,0,1164,369,155,0.42005420054200543,True,False
temporal,initial_churn_bucket,1-50,2051,1926,141,0.07320872274143302,False,False
temporal,initial_churn_bucket,251-1000,950,876,76,0.0867579908675799,False,False
temporal,initial_churn_bucket,51-250,2043,1931,154,0.0797514241325738,False,False
temporal,initial_churn_bucket,>1000,511,459,30,0.06535947712418301,False,False
repository_disjoint,agent,Claude_Code,126,1,0,0.0,False,True
repository_disjoint,agent,Copilot,851,1,0,0.0,False,True
repository_disjoint,agent,Cursor,406,2,0,0.0,False,True
repository_disjoint,agent,Devin,1193,0,0,0.0,False,True
repository_disjoint,agent,OpenAI_Codex,1886,1403,140,0.09978617248752673,False,False
repository_disjoint,repo_language,C#,567,361,24,0.0664819944598338,False,False
repository_disjoint,repo_language,Java,559,472,3,0.006355932203389831,False,False
repository_disjoint,repo_language,JavaScript,174,6,2,0.3333333333333333,False,True
repository_disjoint,repo_language,Python,551,181,33,0.18232044198895028,True,False
repository_disjoint,repo_language,Ruby,171,4,3,0.75,False,True
repository_disjoint,repo_language,Rust,159,46,1,0.021739130434782608,False,False
repository_disjoint,repo_language,TypeScript,1572,150,38,0.25333333333333335,True,False
repository_disjoint,feature_task_type,chore,114,2,2,1.0,False,True
repository_disjoint,feature_task_type,docs,850,474,15,0.03164556962025317,False,False
repository_disjoint,feature_task_type,feat,1594,359,64,0.17827298050139276,True,False
repository_disjoint,feature_task_type,fix,1159,336,30,0.08928571428571429,False,False
repository_disjoint,feature_task_type,refactor,306,44,11,0.25,True,False
repository_disjoint,feature_task_type,test,231,145,13,0.0896551724137931,False,False
repository_disjoint,repo_star_bucket,101-1000,2351,877,73,0.08323831242873432,False,False
repository_disjoint,repo_star_bucket,>1000,2111,530,67,0.12641509433962264,True,False
repository_disjoint,initial_churn_bucket,0,854,2,1,0.5,False,True
repository_disjoint,initial_churn_bucket,1-50,1828,772,53,0.06865284974093264,False,False
repository_disjoint,initial_churn_bucket,251-1000,432,110,31,0.2818181818181818,True,False
repository_disjoint,initial_churn_bucket,51-250,1208,511,51,0.09980430528375733,False,False
repository_disjoint,initial_churn_bucket,>1000,140,12,4,0.3333333333333333,False,True
