split,subgroup_type,subgroup_value,rows,repositories,high_count,accepted_count,accepted_high_count,risk_budget,score_threshold,eligible_for_auc,accepted_risk_over_budget_raw,risk_over_budget,risk_flag_note,auc,average_precision,brier,high_workload_rate,acceptance_rate,accepted_high_workload_rate,high_workload_recall_by_abstention,abstention_precision_for_high_workload,mean_workload_accepted,mean_workload_abstained,workload_share_abstained
temporal,agent,OpenAI_Codex,4897,213,123,4897,123,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.8667851948733145,0.22096888107822057,0.03366124898490897,0.025117418827853788,1.0,0.025117418827853788,0.0,0.0,0.6438635899530325,0.0,0.0
temporal,agent,Copilot,963,357,449,278,127,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.5336848855649823,0.4952820338201169,0.37109110814507823,0.46625129802699894,0.28868120456905505,0.4568345323741007,0.7171492204899778,0.47007299270072994,11.03956834532374,11.872992700729927,0.7260310658810927
temporal,agent,Devin,384,44,200,123,43,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.6070923913043478,0.5765728635131884,0.319724470279525,0.5208333333333334,0.3203125,0.34959349593495936,0.785,0.6015325670498084,7.585365853658536,11.080459770114942,0.756078431372549
temporal,agent,Cursor,327,108,109,274,91,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.45454928036360576,0.3239601471590249,0.33577074891697384,0.3333333333333333,0.8379204892966361,0.33211678832116787,0.1651376146788991,0.33962264150943394,6.105839416058394,7.69811320754717,0.1960595867371456
temporal,agent,Claude_Code,149,80,70,85,35,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.6309222423146473,0.6138055646276376,0.30060253779927804,0.4697986577181208,0.5704697986577181,0.4117647058823529,0.5,0.546875,8.788235294117648,14.859375,0.5600706713780919
temporal,feature_task_type,feat,3510,418,450,2954,144,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.934368191721133,0.5702939197657949,0.09471445188274305,0.1282051282051282,0.8415954415954416,0.04874746106973595,0.68,0.5503597122302158,1.1012186865267435,13.233812949640289,0.6934313448308359
temporal,feature_task_type,fix,1422,374,268,1136,139,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.8335866163118549,0.4324006330820323,0.17495989424464986,0.18846694796061886,0.7988748241912799,0.12235915492957747,0.48134328358208955,0.45104895104895104,2.897007042253521,9.374125874125873,0.4489283322170127
temporal,feature_task_type,docs,493,142,88,451,75,0.1,0.7691995051295595,True,True,True,enough accepted rows,0.7885802469135803,0.35864272158415533,0.1604779524000469,0.17849898580121704,0.9148073022312373,0.1662971175166297,0.14772727272727273,0.30952380952380953,3.2305986696230597,9.023809523809524,0.20642701525054466
temporal,feature_task_type,test,434,58,22,420,18,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.9458296557811121,0.441906144521393,0.04113248959735899,0.05069124423963134,0.967741935483871,0.04285714285714286,0.18181818181818182,0.2857142857142857,0.7285714285714285,9.571428571428571,0.30454545454545456
temporal,feature_task_type,refactor,396,110,68,304,15,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.9118095408895266,0.5447685312366676,0.12791978248682034,0.1717171717171717,0.7676767676767676,0.049342105263157895,0.7794117647058824,0.5760869565217391,1.6085526315789473,13.478260869565217,0.7171775592828225
temporal,feature_task_type,build,143,44,13,131,9,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.7455621301775147,0.2985680082338168,0.12456681464791793,0.09090909090909091,0.916083916083916,0.06870229007633588,0.3076923076923077,0.3333333333333333,2.366412213740458,7.75,0.23076923076923078
temporal,feature_task_type,chore,128,52,20,91,9,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.7787037037037037,0.33495608986087616,0.22070763581408687,0.15625,0.7109375,0.0989010989010989,0.55,0.2972972972972973,2.4395604395604398,6.8108108108108105,0.5316455696202531
temporal,feature_task_type,ci,100,27,7,90,4,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.8387096774193548,0.30441051420568227,0.11476852192716663,0.07,0.9,0.044444444444444446,0.42857142857142855,0.3,0.8222222222222222,4.5,0.37815126050420167
temporal,initial_churn_bucket,51-250,2298,225,202,2159,129,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.9209881150328774,0.508751834092304,0.06995108978143473,0.08790252393385553,0.9395126196692777,0.05974988420565076,0.3613861386138614,0.5251798561151079,1.2130616025937935,10.244604316546763,0.3522137026960178
temporal,initial_churn_bucket,1-50,1740,248,160,1618,95,0.1,0.7691995051295595,True,False,False,enough accepted rows,0.8860957278481013,0.45529573829247627,0.10226941283785038,0.09195402298850575,0.9298850574712644,0.05871446229913473,0.40625,0.5327868852459017,1.3906056860321385,9.89344262295082,0.3491466589528493
