split,subgroup_type,subgroup_value,rows,repositories,accepted_count,accepted_high_count,high_workload_rate,acceptance_rate,accepted_high_workload_rate,risk_over_budget,accepted_risk_over_budget_raw,risk_flag_note,high_workload_recall_by_abstention,workload_share_abstained,auc
temporal,agent,OpenAI_Codex,4897,213,4897,123,0.025117418827853788,1.0,0.025117418827853788,False,False,enough accepted rows,0.0,0.0,0.8667851948733145
temporal,agent,Copilot,963,357,278,127,0.46625129802699894,0.28868120456905505,0.4568345323741007,True,True,enough accepted rows,0.7171492204899778,0.7260310658810927,0.5336848855649823
temporal,agent,Devin,384,44,123,43,0.5208333333333334,0.3203125,0.34959349593495936,True,True,enough accepted rows,0.785,0.756078431372549,0.6070923913043478
temporal,agent,Cursor,327,108,274,91,0.3333333333333333,0.8379204892966361,0.33211678832116787,True,True,enough accepted rows,0.1651376146788991,0.1960595867371456,0.45454928036360576
temporal,agent,Claude_Code,149,80,85,35,0.4697986577181208,0.5704697986577181,0.4117647058823529,True,True,enough accepted rows,0.5,0.5600706713780919,0.6309222423146473
temporal,feature_task_type,feat,3510,418,2954,144,0.1282051282051282,0.8415954415954416,0.04874746106973595,False,False,enough accepted rows,0.68,0.6934313448308359,0.934368191721133
temporal,feature_task_type,fix,1422,374,1136,139,0.18846694796061886,0.7988748241912799,0.12235915492957747,True,True,enough accepted rows,0.48134328358208955,0.4489283322170127,0.8335866163118549
temporal,feature_task_type,docs,493,142,451,75,0.17849898580121704,0.9148073022312373,0.1662971175166297,True,True,enough accepted rows,0.14772727272727273,0.20642701525054466,0.7885802469135803
temporal,feature_task_type,test,434,58,420,18,0.05069124423963134,0.967741935483871,0.04285714285714286,False,False,enough accepted rows,0.18181818181818182,0.30454545454545456,0.9458296557811121
temporal,feature_task_type,refactor,396,110,304,15,0.1717171717171717,0.7676767676767676,0.049342105263157895,False,False,enough accepted rows,0.7794117647058824,0.7171775592828225,0.9118095408895266
