target,reference,metric,direction,n_pairs,target_mean,reference_mean,mean_diff_target_minus_reference,ci_low,ci_high,both_success,target_only_success,reference_only_success,both_fail,noninferiority_margin,noninferior_by_ci,informative_success_evidence
context_gate_medium_high,standard_full,success,higher,60,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,59.0,0.0,0.0,1.0,0.1,True,True
context_gate_medium_high,standard_full,final_target_test_pass,higher,60,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,59.0,0.0,0.0,1.0,0.1,True,True
context_gate_medium_high,standard_full,catastrophic_failure,lower,60,0.0,0.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,standard_full,test_runs,lower,60,0.7,1.0,-0.3,-0.4166666666666667,-0.18333333333333332,,,,,,,
context_gate_medium_high,standard_full,verification_events,lower,60,0.7,1.0,-0.3,-0.4166666666666667,-0.18333333333333332,,,,,,,
context_gate_medium_high,standard_full,search_count,lower,60,0.7,1.0,-0.3,-0.4166666666666667,-0.2,,,,,,,
context_gate_medium_high,standard_full,read_count,lower,60,2.4,3.0,-0.6,-0.8333333333333334,-0.4,,,,,,,
context_gate_medium_high,standard_full,patch_attempts,lower,60,1.0,1.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,standard_full,patch_apply_successes,higher,60,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,standard_full,fallback_events,lower,60,0.7,0.0,0.7,0.5833333333333334,0.8166666666666667,,,,,,,
context_gate_medium_high,standard_full,post_error_extra_work,lower,60,0.0,0.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,standard_full,best_problem_reduction,higher,60,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,standard_full,final_problem_reduction,higher,60,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,standard_full,model_calls,lower,60,2.4,3.0,-0.6,-0.8333333333333334,-0.36666666666666664,,,,,,,
context_gate_medium_high,standard_full,prompt_tokens,lower,60,743.9166666666666,947.7666666666667,-203.85,-283.59166666666664,-125.9929166666667,,,,,,,
context_gate_medium_high,standard_full,completion_tokens,lower,60,310.0833333333333,383.8,-73.71666666666667,-103.43375,-44.84875000000001,,,,,,,
context_gate_medium_high,standard_full,total_tokens,lower,60,1054.0,1331.5666666666666,-277.56666666666666,-390.66541666666666,-168.98166666666665,,,,,,,
context_gate_medium_high,standard_full,latency_seconds,lower,60,19.915799999999997,24.400531666666666,-4.484731666666666,-6.356596249999999,-2.7414486250000003,,,,,,,
context_gate_medium_high,standard_full,tool_calls,lower,60,0.0,0.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,standard_full,context_files,lower,60,1.0,1.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,standard_full,context_bytes,lower,60,564.2833333333333,591.3333333333334,-27.05,-38.7,-16.566250000000004,,,,,,,
context_gate_medium_high,standard_full,files_changed,lower,60,1.0,1.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,standard_full,lines_changed,lower,60,3.05,3.05,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,standard_full,failed_verification_jobs,lower,60,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,standard_full,recovery_attempts,lower,60,0.0,0.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,standard_full,total_observed_work,lower,60,4.8,6.0,-1.2,-1.6666666666666667,-0.7333333333333333,,,,,,,
