target,reference,metric,direction,n_pairs,target_mean,reference_mean,mean_diff_target_minus_reference,ci_low,ci_high,both_success,target_only_success,reference_only_success,both_fail,noninferiority_margin,noninferior_by_ci,informative_success_evidence
context_gate_medium_high,direct_low,success,higher,30,0.9666666666666667,0.8333333333333334,0.13333333333333333,0.03333333333333333,0.26666666666666666,25.0,4.0,0.0,1.0,0.1,True,True
context_gate_medium_high,direct_low,final_target_test_pass,higher,30,0.9666666666666667,0.8333333333333334,0.13333333333333333,0.03333333333333333,0.26666666666666666,25.0,4.0,0.0,1.0,0.1,True,True
context_gate_medium_high,direct_low,catastrophic_failure,lower,30,0.0,0.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,direct_low,test_runs,lower,30,0.7,0.0,0.7,0.5333333333333333,0.8666666666666667,,,,,,,
context_gate_medium_high,direct_low,verification_events,lower,30,0.7,0.0,0.7,0.5333333333333333,0.8666666666666667,,,,,,,
context_gate_medium_high,direct_low,search_count,lower,30,0.7,0.0,0.7,0.5333333333333333,0.8666666666666667,,,,,,,
context_gate_medium_high,direct_low,read_count,lower,30,2.4,1.0,1.4,1.0666666666666667,1.7333333333333334,,,,,,,
context_gate_medium_high,direct_low,patch_attempts,lower,30,1.0,1.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,direct_low,patch_apply_successes,higher,30,0.9666666666666667,0.8333333333333334,0.13333333333333333,0.03333333333333333,0.26666666666666666,,,,,,,
context_gate_medium_high,direct_low,fallback_events,lower,30,0.7,0.0,0.7,0.5333333333333333,0.8666666666666667,,,,,,,
context_gate_medium_high,direct_low,post_error_extra_work,lower,30,0.0,0.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,direct_low,best_problem_reduction,higher,30,0.9666666666666667,0.8333333333333334,0.13333333333333333,0.03333333333333333,0.26666666666666666,,,,,,,
context_gate_medium_high,direct_low,final_problem_reduction,higher,30,0.9666666666666667,0.8333333333333334,0.13333333333333333,0.03333333333333333,0.26666666666666666,,,,,,,
context_gate_medium_high,direct_low,model_calls,lower,30,2.4,1.0,1.4,1.0666666666666667,1.7333333333333334,,,,,,,
context_gate_medium_high,direct_low,prompt_tokens,lower,30,751.1666666666666,205.33333333333334,545.8333333333334,411.685,667.4441666666665,,,,,,,
context_gate_medium_high,direct_low,completion_tokens,lower,30,316.4,125.16666666666667,191.23333333333332,132.19916666666666,256.61249999999995,,,,,,,
context_gate_medium_high,direct_low,total_tokens,lower,30,1067.5666666666666,330.5,737.0666666666667,548.1266666666667,918.5883333333333,,,,,,,
context_gate_medium_high,direct_low,latency_seconds,lower,30,14.535883333333334,5.555643333333333,8.98024,6.4567967500000005,11.442367833333332,,,,,,,
context_gate_medium_high,direct_low,tool_calls,lower,30,0.0,0.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,direct_low,context_files,lower,30,1.0,1.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,direct_low,context_bytes,lower,30,584.3333333333334,500.23333333333335,84.1,60.7,107.26833333333332,,,,,,,
context_gate_medium_high,direct_low,files_changed,lower,30,1.0,1.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,direct_low,lines_changed,lower,30,2.966666666666667,3.0,-0.03333333333333333,-0.1,0.0,,,,,,,
context_gate_medium_high,direct_low,failed_verification_jobs,lower,30,0.03333333333333333,0.16666666666666666,-0.13333333333333333,-0.26666666666666666,-0.03333333333333333,,,,,,,
context_gate_medium_high,direct_low,recovery_attempts,lower,30,0.0,0.0,0.0,0.0,0.0,,,,,,,
context_gate_medium_high,direct_low,total_observed_work,lower,30,4.8,2.0,2.8,2.1333333333333333,3.466666666666667,,,,,,,
