dataset,controller,shift_bucket,rows,activation_rate,anchor_preservation_rate,fallback_rate,mean_certified_margin,mean_certified_slack,post_switch_violation_rate
rebench,camc_rsrc_anchor,medium,500,0.03,0.97,0.542,-0.09303533400784636,-0.00763518957670661,0.0
rebench,camc_sempc_candidate,medium,500,0.36,0.64,0.576,0.15732473944866907,-0.004350171212162255,0.0
rebench,camc_static_anchor,medium,500,0.004,0.996,0.442,-0.10186455309067761,0.011587873282394379,0.0
rebench,pareto_camc_rsrc_anchor,medium,500,0.0,1.0,0.522,-0.13244614967782153,-0.005429241841626275,
rebench,pareto_camc_sempc_candidate,medium,500,0.076,0.924,0.48,-0.10503758644176567,0.010923961655575356,0.0
rebench,pareto_camc_static_anchor,medium,500,0.0,1.0,0.442,-0.13133867239644395,0.024881815857783346,
smith,camc_rsrc_anchor,high,500,0.078,0.922,0.892,0.10918943379001116,-0.1658011595828755,0.0
smith,camc_sempc_candidate,high,500,0.078,0.922,0.892,0.10918943379001116,-0.1658011595828755,0.0
smith,camc_static_anchor,high,500,0.0,1.0,0.886,-0.1661098397663118,-0.16663682178072892,
smith,pareto_camc_rsrc_anchor,high,500,0.004,0.996,0.892,-0.1381818345718124,-0.16549808247150324,0.0
smith,pareto_camc_sempc_candidate,high,500,0.004,0.996,0.892,-0.1381818345718124,-0.16549808247150324,0.0
smith,pareto_camc_static_anchor,high,500,0.0,1.0,0.886,-0.1427484455026907,-0.16471462190058417,
test,camc_rsrc_anchor,low,500,0.024,0.976,0.57,-0.0924345036122958,-0.014661334684570296,0.0
test,camc_sempc_candidate,low,500,0.358,0.642,0.604,0.16504711392892854,-0.009197043381309725,0.0
test,camc_static_anchor,low,500,0.072,0.928,0.5,-0.0849505675880511,-0.0027040585880720573,0.0
test,pareto_camc_rsrc_anchor,low,500,0.0,1.0,0.568,-0.119281319371782,-0.013540356904068846,
test,pareto_camc_sempc_candidate,low,500,0.108,0.892,0.54,-0.07885093742691149,-0.006964125059719679,0.0
test,pareto_camc_static_anchor,low,500,0.0,1.0,0.488,-0.11913679998684014,0.011632189544978733,
verified,camc_rsrc_anchor,low,500,0.022,0.978,0.522,-0.08763455746279802,-0.00028866705653860934,0.0
verified,camc_sempc_candidate,low,500,0.376,0.624,0.562,0.14999984036362288,0.0036781245302567973,0.0
verified,camc_static_anchor,low,500,0.038,0.962,0.424,-0.09840240922950991,0.016764345030722307,0.0
verified,pareto_camc_rsrc_anchor,low,500,0.0,1.0,0.514,-0.1260081354280457,0.002079472130432854,
verified,pareto_camc_sempc_candidate,low,500,0.112,0.888,0.456,-0.0929349303389838,0.008636676014073285,0.0
verified,pareto_camc_static_anchor,low,500,0.0,1.0,0.416,-0.12468095547297474,0.03110374922691746,
