dataset,controller,slack_quantile,rows,activation_rate,mean_certified_margin,mean_certified_slack,post_switch_violation_rate,mean_success,mean_drift
rebench,camc_rsrc_anchor,Q1,40,0.0,,-0.1750612318137048,,0.2,-0.19219322303897476
rebench,camc_rsrc_anchor,Q2,113,0.0,,-0.06185630130064457,,0.19469026548672566,-0.2955320281927775
rebench,camc_rsrc_anchor,Q3,125,0.016,-0.09797876017161801,-0.010660237687047264,0.0,0.264,-0.3398117369381098
rebench,camc_rsrc_anchor,Q4,127,0.06299212598425197,-0.0878431025554666,0.024376403000322917,0.0,0.2755905511811024,-0.37721391321235004
rebench,camc_rsrc_anchor,Q5,95,0.05263157894736842,-0.09654971031045446,0.08854045327376443,0.0,0.2736842105263158,-0.42027338339071074
rebench,camc_sempc_candidate,Q1,40,0.0,,-0.17842459534125474,,0.175,-0.18392105580789597
rebench,camc_sempc_candidate,Q2,100,0.0,,-0.06315562869680512,,0.23,-0.2949488130947617
rebench,camc_sempc_candidate,Q3,107,0.028037383177570093,-0.028959897070347723,-0.013831014757729925,0.0,0.2336448598130841,-0.3143847124767484
rebench,camc_sempc_candidate,Q4,145,0.6,0.13602210235508932,0.026169756945211824,0.0,0.22758620689655173,-0.36673711641710854
rebench,camc_sempc_candidate,Q5,108,0.8333333333333334,0.19958889676842206,0.08298856388213853,0.0,0.25,-0.4127753354173048
rebench,camc_static_anchor,Q1,31,0.0,,-0.18699830826388444,,0.12903225806451613,-0.17126571634831783
rebench,camc_static_anchor,Q2,81,0.0,,-0.06204062600727734,,0.18518518518518517,-0.2987370494389566
rebench,camc_static_anchor,Q3,109,0.0,-0.21725599067375015,-0.011544897222333447,,0.29357798165137616,-0.33302319370068434
rebench,camc_static_anchor,Q4,128,0.0,-0.1328532208063105,0.02759885981422913,,0.2890625,-0.3523226507947871
rebench,camc_static_anchor,Q5,151,0.013245033112582781,-0.05896653725631125,0.0949795671852986,0.0,0.2781456953642384,-0.3921726404040821
rebench,pareto_camc_rsrc_anchor,Q1,39,0.0,,-0.1758292500760483,,0.1794871794871795,-0.19025969240091023
