dataset,controller,seed,step,reference_shift,certified_margin,certified_slack,anchor_value,candidate_value,delta_loss,delta_benefit,delta_violation,gate_tau,activated,anchor_preserved,post_switch_violation,rejected_candidates,reject_safety,reject_loss,reject_benefit,reject_violation,candidate_count,safe_nonempty,fallback,L_before,drift,success,slack_quantile,shift_bucket
verified,camc_static_anchor,0,0,0.11279498249793252,-0.0889422458390493,0.08032067135769433,1.6997793375931216,1.3593120894154922,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.5567548378617342,1.0,Q5,low
verified,camc_static_anchor,0,1,0.11279498249793252,-0.08754668939787758,0.04616090952280889,1.7193146321418953,1.380316181226489,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.5119252560269302,1.0,Q4,low
verified,camc_static_anchor,0,2,0.11279498249793252,-0.19667034180234733,0.02935860009506204,1.7353503898197318,1.5082008311008168,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.44756353169738106,0.0,Q4,low
verified,camc_static_anchor,0,3,0.11279498249793252,-0.09009186453625001,0.04053241815895625,1.7233155971543603,1.3920572021913107,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4653889488744454,0.0,Q4,low
verified,camc_static_anchor,0,4,0.11279498249793252,,-0.024532039572643993,1.8108861292480218,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3664333750593034,0.0,Q3,low
verified,camc_static_anchor,0,5,0.11279498249793252,-0.41665218661127784,0.033583519531278944,1.7837404257187492,1.7837404257187492,,,,,0.0,1.0,,0,0,0,0,0,1,1.0,0.0,0.0,-0.43708996907450426,1.0,Q4,low
verified,camc_static_anchor,0,6,0.11279498249793252,-0.19448647560465704,0.04040630831010508,1.7427173330474945,1.5228567553075727,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4639223569503125,1.0,Q4,low
verified,camc_static_anchor,0,7,0.11279498249793252,-0.29942600295945987,0.03742962367562551,1.7558733708897531,1.643190920264332,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4468733809522039,1.0,Q4,low
verified,camc_static_anchor,0,8,0.11279498249793252,-0.07281178134161115,0.042577753033133076,1.7363913874796058,1.39915810876213,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.45824810867869087,1.0,Q4,low
verified,camc_static_anchor,0,9,0.11279498249793252,-0.06340299513094533,0.07357485312681875,1.597553219929037,1.252879084453074,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4367494545077661,0.0,Q5,low
