dataset,comparison,controller_a,controller_b,metric,a_minus_b,ci_low,ci_high
rebench,CAMC-static minus static anchor,camc_static_anchor,static_conservative,discounted_cost,5.8965643296993164e-06,2.220446049250313e-16,1.1793128659176588e-05
rebench,CAMC-static minus static anchor,camc_static_anchor,static_conservative,safety_augmented_cost_medium,5.8965643296993164e-06,2.220446049250313e-16,1.1793128659176588e-05
rebench,CAMC-static minus static anchor,camc_static_anchor,static_conservative,success_rate,0.0,0.0,0.0
rebench,CAMC-static minus static anchor,camc_static_anchor,static_conservative,overload_rate,0.0,0.0,0.0
rebench,CAMC-static minus static anchor,camc_static_anchor,static_conservative,verification_rate,0.0,0.0,0.0
rebench,CAMC-static minus static anchor,camc_static_anchor,static_conservative,fallback_rate,0.442,0.368,0.516
rebench,CAMC-static minus static anchor,camc_static_anchor,static_conservative,safe_set_nonempty_rate,0.0,0.0,0.0
rebench,CAMC-static minus static anchor,camc_static_anchor,static_conservative,avg_return_time_to_safe,0.0,0.0,0.0
rebench,CAMC-static minus static anchor,camc_static_anchor,static_conservative,camc_activation_rate,0.004,0.004,0.004
rebench,CAMC-static minus static anchor,camc_static_anchor,static_conservative,camc_post_switch_violation_rate,0.0,0.0,0.0
rebench,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,discounted_cost,-0.0005589401834884267,-0.000564315422052375,-0.0005535649449244784
rebench,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,safety_augmented_cost_medium,0.0009410598165114914,-0.0005535649449246449,0.0024356845779476277
rebench,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,success_rate,-0.001999999999999988,-0.003999999999999976,0.0
rebench,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,overload_rate,0.0,0.0,0.0
rebench,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,verification_rate,-0.010666666666666769,-0.010666666666666935,-0.010666666666666602
rebench,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,fallback_rate,0.020000000000000018,0.01200000000000001,0.028000000000000025
rebench,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,safe_set_nonempty_rate,-0.01999999999999999,-0.02799999999999997,-0.01200000000000001
rebench,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,avg_return_time_to_safe,0.04067554616753699,0.0006747638326585204,0.08067632850241546
rebench,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,camc_activation_rate,0.03,0.028,0.032
rebench,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,camc_post_switch_violation_rate,0.0,0.0,0.0
rebench,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,discounted_cost,-0.004536733032119045,-0.006539203089015622,-0.0025342629752224677
rebench,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,safety_augmented_cost_medium,0.017963266967880975,0.014460796910984453,0.021465737024777498
rebench,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,success_rate,-0.030000000000000013,-0.032,-0.028000000000000025
rebench,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,overload_rate,0.0,0.0,0.0
rebench,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,verification_rate,-0.06999999999999962,-0.07599999999999962,-0.06399999999999961
rebench,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,fallback_rate,0.5760000000000001,0.496,0.656
rebench,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,safe_set_nonempty_rate,-0.134,-0.14,-0.128
rebench,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,avg_return_time_to_safe,0.5838378829792787,0.23289315726290516,0.9347826086956523
rebench,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,camc_activation_rate,0.36,0.292,0.428
rebench,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,camc_post_switch_violation_rate,0.0,0.0,0.0
rebench,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,discounted_cost,-0.009283696197957825,-0.010167052955180778,-0.008400339440734872
rebench,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,safety_augmented_cost_medium,0.004216303802042076,0.0035996605592651942,0.004832947044818958
rebench,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,success_rate,-0.018000000000000016,-0.020000000000000018,-0.016000000000000014
rebench,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,overload_rate,0.0,0.0,0.0
rebench,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,verification_rate,-0.0646666666666662,-0.06933333333333291,-0.0599999999999995
rebench,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,fallback_rate,0.05200000000000002,0.043999999999999984,0.06000000000000005
rebench,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,safe_set_nonempty_rate,-0.052000000000000046,-0.06000000000000005,-0.04400000000000004
rebench,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,avg_return_time_to_safe,0.18339741693778988,-0.06122448979591821,0.428019323671498
rebench,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,camc_activation_rate,0.36,0.292,0.428
rebench,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,camc_post_switch_violation_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,discounted_cost,0.0,0.0,0.0
rebench,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,safety_augmented_cost_medium,0.0,0.0,0.0
rebench,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,success_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,overload_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,verification_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,fallback_rate,0.442,0.368,0.516
rebench,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,safe_set_nonempty_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,avg_return_time_to_safe,0.0,0.0,0.0
rebench,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,camc_activation_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-static minus static anchor,pareto_camc_static_anchor,static_conservative,camc_post_switch_violation_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,discounted_cost,0.0,0.0,0.0
rebench,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,safety_augmented_cost_medium,0.0,0.0,0.0
rebench,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,success_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,overload_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,verification_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,fallback_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,safe_set_nonempty_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,avg_return_time_to_safe,0.0,0.0,0.0
rebench,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,camc_activation_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,camc_post_switch_violation_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,discounted_cost,0.0034941076451426023,0.002885725129151251,0.004102490161133954
rebench,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,safety_augmented_cost_medium,0.0019941076451426287,-0.00011427487084869625,0.004102490161133954
rebench,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,success_rate,0.0020000000000000018,0.0,0.0040000000000000036
rebench,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,overload_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,verification_rate,0.0239999999999998,0.021333333333333315,0.026666666666666283
rebench,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,fallback_rate,0.48,0.392,0.568
rebench,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,safe_set_nonempty_rate,-0.038000000000000006,-0.05199999999999999,-0.02400000000000002
rebench,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,avg_return_time_to_safe,0.30874360613810725,0.26086956521739113,0.3566176470588234
rebench,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,camc_activation_rate,0.07600000000000001,0.068,0.084
rebench,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,camc_post_switch_violation_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,discounted_cost,-0.0012528555206961778,-0.003530299818824356,0.0010245887774320006
rebench,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,safety_augmented_cost_medium,-0.01175285552069627,-0.012530299818824586,-0.010975411222567955
rebench,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,success_rate,0.013999999999999999,0.011999999999999983,0.016000000000000014
rebench,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,overload_rate,0.0,0.0,0.0
rebench,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,verification_rate,0.02933333333333321,0.02533333333333343,0.03333333333333299
rebench,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,fallback_rate,-0.04400000000000001,-0.06,-0.028000000000000025
rebench,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,safe_set_nonempty_rate,0.043999999999999956,0.02799999999999997,0.05999999999999994
rebench,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,avg_return_time_to_safe,-0.09169685990338161,-0.24589371980676322,0.0625
rebench,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,camc_activation_rate,0.07600000000000001,0.068,0.084
rebench,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,camc_post_switch_violation_rate,0.0,0.0,0.0
smith,CAMC-static minus static anchor,camc_static_anchor,static_conservative,discounted_cost,0.0,0.0,0.0
smith,CAMC-static minus static anchor,camc_static_anchor,static_conservative,safety_augmented_cost_medium,0.0,0.0,0.0
