dataset,controller_a,controller_b,metric,a_minus_b,ci_low,ci_high
rebench,rsrc,static_conservative,discounted_cost,0.004438393428160381,0.003653477681599737,0.005223309174721025
rebench,rsrc,static_conservative,safety_augmented_cost_medium,0.011938393428160499,0.011223309174721141,0.012653477681599856
rebench,rsrc,static_conservative,success_rate,-0.010000000000000009,-0.01200000000000001,-0.008000000000000007
rebench,rsrc,static_conservative,overload_rate,0.0,0.0,0.0
rebench,rsrc,static_conservative,safe_occupancy_rate,-0.07999999999999999,-0.08399999999999996,-0.07600000000000001
rebench,rsrc,static_conservative,benchmark_safe_occupancy_rate,-0.09399999999999997,-0.10799999999999998,-0.07999999999999996
rebench,rsrc,static_conservative,verification_rate,-0.0040000000000000036,-0.005333333333333301,-0.002666666666666706
rebench,rsrc,static_conservative,certificate_service_violation_rate,0.0,0.0,0.0
rebench,rsrc,static_conservative,negative_drift_rate_outside_safe,0.0035276021567707816,0.000995181227739339,0.006060023085802224
rebench,rsrc,static_conservative,avg_return_time_to_safe,0.37617146019353576,0.2678018575851393,0.4845410628019322
rebench,se_mpc,static_conservative,discounted_cost,0.00474696316583878,0.0018611363517192503,0.00763278997995831
rebench,se_mpc,static_conservative,safety_augmented_cost_medium,0.013746963165838899,0.010861136351719258,0.01663278997995854
rebench,se_mpc,static_conservative,success_rate,-0.011999999999999997,-0.01200000000000001,-0.011999999999999983
rebench,se_mpc,static_conservative,overload_rate,0.0,0.0,0.0
rebench,se_mpc,static_conservative,safe_occupancy_rate,-0.08399999999999996,-0.08799999999999997,-0.07999999999999996
rebench,se_mpc,static_conservative,benchmark_safe_occupancy_rate,-0.09399999999999997,-0.10799999999999998,-0.07999999999999996
rebench,se_mpc,static_conservative,verification_rate,-0.005333333333333412,-0.00666666666666671,-0.004000000000000115
rebench,se_mpc,static_conservative,certificate_service_violation_rate,0.0,0.0,0.0
rebench,se_mpc,static_conservative,negative_drift_rate_outside_safe,0.0036667173835063793,0.0010405285885229931,0.0062929061784897655
rebench,se_mpc,static_conservative,avg_return_time_to_safe,0.40044046604148886,0.2941176470588234,0.5067632850241544
rebench,rsrc,headroom_only,discounted_cost,-0.000297940827312021,-0.000324732582497711,-0.000271149072126331
rebench,rsrc,headroom_only,safety_augmented_cost_medium,-0.00029794082731204874,-0.0003247325824977665,-0.000271149072126331
rebench,rsrc,headroom_only,success_rate,0.0,0.0,0.0
rebench,rsrc,headroom_only,overload_rate,0.0,0.0,0.0
rebench,rsrc,headroom_only,safe_occupancy_rate,-0.011999999999999955,-0.015999999999999903,-0.008000000000000007
rebench,rsrc,headroom_only,benchmark_safe_occupancy_rate,0.0020000000000000018,0.0,0.0040000000000000036
rebench,rsrc,headroom_only,verification_rate,0.0,0.0,0.0
rebench,rsrc,headroom_only,certificate_service_violation_rate,0.0,0.0,0.0
rebench,rsrc,headroom_only,negative_drift_rate_outside_safe,0.0005334107625905582,9.25583117363793e-05,0.0009742632134447371
rebench,rsrc,headroom_only,avg_return_time_to_safe,-0.0007773323562798584,-0.029292929292929593,0.027738264580369876
rebench,rsrc,rsrc_no_recovery,discounted_cost,-0.0003013424251227248,-0.0003315357856140122,-0.0002711490646314374
rebench,rsrc,rsrc_no_recovery,safety_augmented_cost_medium,-0.00030134242512269704,-0.0003315357856139567,-0.0002711490646314374
rebench,rsrc,rsrc_no_recovery,success_rate,0.0,0.0,0.0
rebench,rsrc,rsrc_no_recovery,overload_rate,0.0,0.0,0.0
rebench,rsrc,rsrc_no_recovery,safe_occupancy_rate,-0.011999999999999955,-0.015999999999999903,-0.008000000000000007
rebench,rsrc,rsrc_no_recovery,benchmark_safe_occupancy_rate,0.0020000000000000018,0.0,0.0040000000000000036
rebench,rsrc,rsrc_no_recovery,verification_rate,0.0,0.0,0.0
rebench,rsrc,rsrc_no_recovery,certificate_service_violation_rate,0.0,0.0,0.0
rebench,rsrc,rsrc_no_recovery,negative_drift_rate_outside_safe,0.0005334107625905582,9.25583117363793e-05,0.0009742632134447371
rebench,rsrc,rsrc_no_recovery,avg_return_time_to_safe,-0.0007773323562798584,-0.029292929292929593,0.027738264580369876
rebench,rsrc,rsrc_no_context,discounted_cost,3.0627701211316527e-06,-1.4989787189279014e-11,6.125555232050495e-06
rebench,rsrc,rsrc_no_context,safety_augmented_cost_medium,3.062770121187164e-06,-1.4989787189279014e-11,6.125555232161517e-06
rebench,rsrc,rsrc_no_context,success_rate,0.0,0.0,0.0
rebench,rsrc,rsrc_no_context,overload_rate,0.0,0.0,0.0
rebench,rsrc,rsrc_no_context,safe_occupancy_rate,0.0,0.0,0.0
rebench,rsrc,rsrc_no_context,benchmark_safe_occupancy_rate,0.0,0.0,0.0
rebench,rsrc,rsrc_no_context,verification_rate,0.0,0.0,0.0
rebench,rsrc,rsrc_no_context,certificate_service_violation_rate,0.0,0.0,0.0
rebench,rsrc,rsrc_no_context,negative_drift_rate_outside_safe,0.0,0.0,0.0
rebench,rsrc,rsrc_no_context,avg_return_time_to_safe,0.0,0.0,0.0
rebench,rsrc,adaptive_threshold,discounted_cost,0.0266967406267076,0.02516608382246427,0.02822739743095093
rebench,rsrc,adaptive_threshold,safety_augmented_cost_medium,-0.03330325937329226,-0.04683391617753552,-0.019772602569049003
rebench,rsrc,adaptive_threshold,success_rate,0.08,0.064,0.096
rebench,rsrc,adaptive_threshold,overload_rate,0.0,0.0,0.0
rebench,rsrc,adaptive_threshold,safe_occupancy_rate,0.22000000000000003,0.11599999999999999,0.32400000000000007
rebench,rsrc,adaptive_threshold,benchmark_safe_occupancy_rate,0.008000000000000007,-0.03200000000000003,0.04800000000000004
rebench,rsrc,adaptive_threshold,verification_rate,0.21933333333333244,0.21866666666666545,0.21999999999999942
rebench,rsrc,adaptive_threshold,certificate_service_violation_rate,0.0,0.0,0.0
rebench,rsrc,adaptive_threshold,negative_drift_rate_outside_safe,0.00213113996013764,-0.005930115865340757,0.010192395785616037
rebench,rsrc,adaptive_threshold,avg_return_time_to_safe,-3.5921982987772463,-5.109649122807018,-2.0747474747474746
rebench,rsrc,maxweight_backlog,discounted_cost,0.0008619639232941845,0.0008228204733086164,0.0009011073732797525
rebench,rsrc,maxweight_backlog,safety_augmented_cost_medium,0.0008619639232942955,0.0008228204733087274,0.0009011073732798636
rebench,rsrc,maxweight_backlog,success_rate,0.0,0.0,0.0
rebench,rsrc,maxweight_backlog,overload_rate,0.0,0.0,0.0
rebench,rsrc,maxweight_backlog,safe_occupancy_rate,-0.013999999999999957,-0.015999999999999903,-0.01200000000000001
rebench,rsrc,maxweight_backlog,benchmark_safe_occupancy_rate,-0.03199999999999997,-0.03599999999999992,-0.028000000000000025
rebench,rsrc,maxweight_backlog,verification_rate,0.0,0.0,0.0
rebench,rsrc,maxweight_backlog,certificate_service_violation_rate,0.0,0.0,0.0
rebench,rsrc,maxweight_backlog,negative_drift_rate_outside_safe,0.0005570290904129416,0.00013979496738114605,0.0009742632134447371
rebench,rsrc,maxweight_backlog,avg_return_time_to_safe,-0.06864885080919358,-0.08320413436692542,-0.05409356725146175
rebench,se_mpc,rsrc,discounted_cost,0.0003085697376783991,-0.0017923413298804869,0.002409480805237285
rebench,se_mpc,rsrc,safety_augmented_cost_medium,0.0018085697376784005,-0.001792341329880598,0.005409480805237399
rebench,se_mpc,rsrc,success_rate,-0.001999999999999988,-0.003999999999999976,0.0
rebench,se_mpc,rsrc,overload_rate,0.0,0.0,0.0
rebench,se_mpc,rsrc,safe_occupancy_rate,-0.003999999999999976,-0.0040000000000000036,-0.003999999999999948
rebench,se_mpc,rsrc,benchmark_safe_occupancy_rate,0.0,0.0,0.0
rebench,se_mpc,rsrc,verification_rate,-0.0013333333333334085,-0.0013333333333334085,-0.0013333333333334085
rebench,se_mpc,rsrc,certificate_service_violation_rate,0.0,0.0,0.0
rebench,se_mpc,rsrc,negative_drift_rate_outside_safe,0.00013911522673559773,4.534736078365409e-05,0.00023288309268754137
rebench,se_mpc,rsrc,avg_return_time_to_safe,0.024269005847953107,0.022222222222222143,0.02631578947368407
rebench,camc_static_anchor,static_conservative,discounted_cost,5.8965643296993164e-06,2.220446049250313e-16,1.1793128659176588e-05
rebench,camc_static_anchor,static_conservative,safety_augmented_cost_medium,5.8965643296993164e-06,2.220446049250313e-16,1.1793128659176588e-05
rebench,camc_static_anchor,static_conservative,success_rate,0.0,0.0,0.0
rebench,camc_static_anchor,static_conservative,overload_rate,0.0,0.0,0.0
rebench,camc_static_anchor,static_conservative,safe_occupancy_rate,0.0,0.0,0.0
rebench,camc_static_anchor,static_conservative,benchmark_safe_occupancy_rate,0.0,0.0,0.0
rebench,camc_static_anchor,static_conservative,verification_rate,0.0,0.0,0.0
rebench,camc_static_anchor,static_conservative,certificate_service_violation_rate,0.0,0.0,0.0
rebench,camc_static_anchor,static_conservative,negative_drift_rate_outside_safe,0.0,0.0,0.0
rebench,camc_static_anchor,static_conservative,avg_return_time_to_safe,0.0,0.0,0.0
rebench,camc_rsrc_anchor,rsrc,discounted_cost,-0.0005589401834884267,-0.000564315422052375,-0.0005535649449244784
rebench,camc_rsrc_anchor,rsrc,safety_augmented_cost_medium,0.0009410598165114914,-0.0005535649449246449,0.0024356845779476277
rebench,camc_rsrc_anchor,rsrc,success_rate,-0.001999999999999988,-0.003999999999999976,0.0
rebench,camc_rsrc_anchor,rsrc,overload_rate,0.0,0.0,0.0
rebench,camc_rsrc_anchor,rsrc,safe_occupancy_rate,-0.01999999999999999,-0.02799999999999997,-0.01200000000000001
rebench,camc_rsrc_anchor,rsrc,benchmark_safe_occupancy_rate,0.010000000000000009,0.008000000000000007,0.01200000000000001
rebench,camc_rsrc_anchor,rsrc,verification_rate,-0.010666666666666769,-0.010666666666666935,-0.010666666666666602
rebench,camc_rsrc_anchor,rsrc,certificate_service_violation_rate,0.0,0.0,0.0
rebench,camc_rsrc_anchor,rsrc,negative_drift_rate_outside_safe,0.0004958737271927305,0.00030514385353097584,0.0006866036008544851
rebench,camc_rsrc_anchor,rsrc,avg_return_time_to_safe,0.04067554616753699,0.0006747638326585204,0.08067632850241546
rebench,camc_sempc_candidate,static_conservative,discounted_cost,-0.004536733032119045,-0.006539203089015622,-0.0025342629752224677
rebench,camc_sempc_candidate,static_conservative,safety_augmented_cost_medium,0.017963266967880975,0.014460796910984453,0.021465737024777498
rebench,camc_sempc_candidate,static_conservative,success_rate,-0.030000000000000013,-0.032,-0.028000000000000025
rebench,camc_sempc_candidate,static_conservative,overload_rate,0.0,0.0,0.0
rebench,camc_sempc_candidate,static_conservative,safe_occupancy_rate,-0.19,-0.20800000000000002,-0.172
rebench,camc_sempc_candidate,static_conservative,benchmark_safe_occupancy_rate,-0.03999999999999998,-0.04399999999999993,-0.03600000000000003
rebench,camc_sempc_candidate,static_conservative,verification_rate,-0.06999999999999962,-0.07599999999999962,-0.06399999999999961
rebench,camc_sempc_candidate,static_conservative,certificate_service_violation_rate,0.0,0.0,0.0
rebench,camc_sempc_candidate,static_conservative,negative_drift_rate_outside_safe,0.0068566734074823055,0.0019379844961240345,0.011775362318840576
rebench,camc_sempc_candidate,static_conservative,avg_return_time_to_safe,0.5838378829792787,0.23289315726290516,0.9347826086956523
rebench,camc_sempc_candidate,se_mpc,discounted_cost,-0.009283696197957825,-0.010167052955180778,-0.008400339440734872
rebench,camc_sempc_candidate,se_mpc,safety_augmented_cost_medium,0.004216303802042076,0.0035996605592651942,0.004832947044818958
rebench,camc_sempc_candidate,se_mpc,success_rate,-0.018000000000000016,-0.020000000000000018,-0.016000000000000014
rebench,camc_sempc_candidate,se_mpc,overload_rate,0.0,0.0,0.0
rebench,camc_sempc_candidate,se_mpc,safe_occupancy_rate,-0.10600000000000004,-0.12000000000000005,-0.09200000000000003
rebench,camc_sempc_candidate,se_mpc,benchmark_safe_occupancy_rate,0.05399999999999999,0.04399999999999993,0.06400000000000006
rebench,camc_sempc_candidate,se_mpc,verification_rate,-0.0646666666666662,-0.06933333333333291,-0.0599999999999995
rebench,camc_sempc_candidate,se_mpc,certificate_service_violation_rate,0.0,0.0,0.0
rebench,camc_sempc_candidate,se_mpc,negative_drift_rate_outside_safe,0.003189956023975926,0.0008974559076010413,0.005482456140350811
rebench,camc_sempc_candidate,se_mpc,avg_return_time_to_safe,0.18339741693778988,-0.06122448979591821,0.428019323671498
rebench,pareto_camc_static_anchor,static_conservative,discounted_cost,0.0,0.0,0.0
rebench,pareto_camc_static_anchor,static_conservative,safety_augmented_cost_medium,0.0,0.0,0.0
rebench,pareto_camc_static_anchor,static_conservative,success_rate,0.0,0.0,0.0
rebench,pareto_camc_static_anchor,static_conservative,overload_rate,0.0,0.0,0.0
rebench,pareto_camc_static_anchor,static_conservative,safe_occupancy_rate,0.0,0.0,0.0
rebench,pareto_camc_static_anchor,static_conservative,benchmark_safe_occupancy_rate,0.0,0.0,0.0
rebench,pareto_camc_static_anchor,static_conservative,verification_rate,0.0,0.0,0.0
rebench,pareto_camc_static_anchor,static_conservative,certificate_service_violation_rate,0.0,0.0,0.0
rebench,pareto_camc_static_anchor,static_conservative,negative_drift_rate_outside_safe,0.0,0.0,0.0
rebench,pareto_camc_static_anchor,static_conservative,avg_return_time_to_safe,0.0,0.0,0.0
rebench,pareto_camc_rsrc_anchor,rsrc,discounted_cost,0.0,0.0,0.0
