dataset,controller,L_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,rows
rebench,adaptive_threshold,<=0.5,-0.26018619548792343,0.00039435048671067265,0.9811320754716981,0.013477088948787063,371
rebench,always_verify,<=0.5,-0.317732353406939,-1.7133071367672168e-20,0.9901234567901235,0.012345679012345678,405
rebench,always_verify_throttle,<=0.5,-0.3172563088412983,0.0,0.9898477157360406,0.012690355329949238,394
rebench,camc_rsrc_anchor,<=0.5,-0.29091494563974996,0.0005120948357178625,0.985239852398524,0.0036900369003690036,271
rebench,camc_sempc_candidate,<=0.5,-0.29576958497516714,0.0004144848279193898,0.9873417721518988,0.006329113924050633,316
rebench,camc_static_anchor,<=0.5,-0.29204926143511767,0.0005824104612000209,0.9819004524886877,0.004524886877828055,221
rebench,greedy_myopic,<=0.5,-0.2992215785095854,5.848939341737998e-06,0.9841986455981941,0.01580135440180587,443
rebench,headroom_only,<=0.5,-0.29194062878315924,0.0005369948305616676,0.984313725490196,0.00392156862745098,255
rebench,maxweight_backlog,<=0.5,-0.29321631506480283,0.0005309636201634062,0.984251968503937,0.003937007874015748,254
rebench,minimal_verify,<=0.5,-0.05900189468135114,0.0003254296475753222,0.8825910931174089,0.19230769230769232,494
rebench,minimal_verify,"(0.5,1]",-0.026791456467812447,-0.028818934099820656,0.5,0.5,4
rebench,oracle_src,<=0.5,-0.2246281302938441,0.00010509972196257054,0.9768115942028985,0.02318840579710145,345
rebench,pareto_camc_rsrc_anchor,<=0.5,-0.2933547621885666,0.0005256360429229121,0.9846743295019157,0.0038314176245210726,261
rebench,pareto_camc_sempc_candidate,<=0.5,-0.29551141245827334,0.0005540954532412005,0.9832635983263598,0.0041841004184100415,239
rebench,pareto_camc_static_anchor,<=0.5,-0.29206277260843844,0.0005824104184227771,0.9819004524886877,0.004524886877828055,221
rebench,plain_mpc,<=0.5,-0.2162031662654245,1.4132166810401686e-20,0.9775967413441955,0.028513238289205704,491
rebench,rsrc,<=0.5,-0.2933547621885666,0.0005256360429229121,0.9846743295019157,0.0038314176245210726,261
rebench,rsrc_no_context,<=0.5,-0.29335050892007547,0.000524631671508967,0.9846743295019157,0.0038314176245210726,261
rebench,rsrc_no_recovery,<=0.5,-0.2919383875092504,0.0005380228503465221,0.984313725490196,0.00392156862745098,255
rebench,se_mpc,<=0.5,-0.29333718616794313,0.0005216388213673293,0.9847908745247148,0.0038022813688212928,263
rebench,static_aggressive,<=0.5,-0.33435927876224497,0.0,0.9848484848484849,0.017676767676767676,396
rebench,static_conservative,<=0.5,-0.29206277260843844,0.0005824104184227771,0.9819004524886877,0.004524886877828055,221
smith,adaptive_threshold,<=0.5,-0.1324662692823661,0.011606928665483697,0.8026315789473685,0.21842105263157896,380
smith,adaptive_threshold,"(0.5,1]",-0.1544780429426265,-0.15197304989754953,0.84,0.84,25
smith,always_verify,<=0.5,-0.1529385056999576,0.010178275136277391,0.8318181818181818,0.20454545454545456,440
smith,always_verify,"(0.5,1]",-0.14917951293057266,-0.14919469610212877,0.84,0.84,25
smith,always_verify_throttle,<=0.5,-0.15207012514929788,0.010270801022680682,0.8302752293577982,0.20642201834862386,436
smith,always_verify_throttle,"(0.5,1]",-0.14918720653810794,-0.14919905996029992,0.84,0.84,25
smith,camc_rsrc_anchor,<=0.5,-0.14643280433424533,0.010553830286700698,0.8243559718969555,0.20843091334894615,427
smith,camc_rsrc_anchor,"(0.5,1]",-0.1473672209101504,-0.14925067933949204,0.84,0.84,25
smith,camc_sempc_candidate,<=0.5,-0.14643280433424533,0.010553830286700698,0.8243559718969555,0.20843091334894615,427
smith,camc_sempc_candidate,"(0.5,1]",-0.1473672209101504,-0.14925067933949204,0.84,0.84,25
smith,camc_static_anchor,<=0.5,-0.1444214332521422,0.010797528948414029,0.8229665071770335,0.21291866028708134,418
smith,camc_static_anchor,"(0.5,1]",-0.14814540857343933,-0.14953095204405745,0.88,0.88,25
smith,greedy_myopic,<=0.5,-0.16120973204551184,0.01262560099596383,0.8232662192393736,0.19686800894854586,447
smith,greedy_myopic,"(0.5,1]",-0.16534908096689005,-0.15826341857763637,0.8571428571428571,0.8571428571428571,28
smith,greedy_myopic,"(1,2]",-0.28774967670277385,-0.5171027839042251,1.0,1.0,1
smith,headroom_only,<=0.5,-0.1444852462524886,0.010685041135703642,0.8222748815165877,0.2132701421800948,422
smith,headroom_only,"(0.5,1]",-0.14787506840904954,-0.14933088714834786,0.84,0.84,25
smith,maxweight_backlog,<=0.5,-0.1455431714561132,0.010660810622175805,0.8226950354609929,0.2127659574468085,423
smith,maxweight_backlog,"(0.5,1]",-0.1478994805055893,-0.14934674875730622,0.84,0.84,25
smith,minimal_verify,<=0.5,-0.019127031106515497,0.03748607071208448,0.6470588235294118,0.3235294117647059,34
smith,minimal_verify,"(0.5,1]",0.25303280473537,0.5558565831998961,0.5,0.5,4
smith,minimal_verify,"(1,2]",0.24735744328635323,0.8110117136127828,0.0,0.0,6
smith,minimal_verify,"(2,4]",0.11419717035169426,0.7021276342310636,0.027777777777777776,0.027777777777777776,36
smith,minimal_verify,"(4,8]",0.23952058231552664,3.0044656352500776,0.0,0.0,36
smith,minimal_verify,>8,0.27735852061165206,19.37720097007448,0.0,0.0,382
smith,oracle_src,<=0.5,-0.10075874417208136,0.014645968148014612,0.7610062893081762,0.22327044025157233,318
smith,oracle_src,"(0.5,1]",-0.15180967608410187,-0.1510864532334151,0.8333333333333334,0.8333333333333334,24
smith,pareto_camc_rsrc_anchor,<=0.5,-0.14557812443605164,0.01072296670315394,0.8242280285035629,0.21140142517814728,421
smith,pareto_camc_rsrc_anchor,"(0.5,1]",-0.14813308530790148,-0.14952180510809407,0.88,0.88,25
smith,pareto_camc_sempc_candidate,<=0.5,-0.14557812443605164,0.01072296670315394,0.8242280285035629,0.21140142517814728,421
smith,pareto_camc_sempc_candidate,"(0.5,1]",-0.14813308530790148,-0.14952180510809407,0.88,0.88,25
smith,pareto_camc_static_anchor,<=0.5,-0.1444214332521422,0.010797528948414029,0.8229665071770335,0.21291866028708134,418
smith,pareto_camc_static_anchor,"(0.5,1]",-0.14814540857343933,-0.14953095204405745,0.88,0.88,25
smith,plain_mpc,<=0.5,-0.14033303954326057,0.012582174659313109,0.8181818181818182,0.20454545454545456,440
smith,plain_mpc,"(0.5,1]",-0.1197465605560152,-0.12048978406253252,0.8378378378378378,0.8378378378378378,37
smith,plain_mpc,"(1,2]",-0.21069044973565276,-0.40136054506090213,1.0,1.0,1
