dataset,controller,family,load_threshold,rows,barrier_rate,mean_min_projected_drift
rebench,camc_rsrc_anchor,g01,0.5,0,,
rebench,camc_rsrc_anchor,g012,0.5,0,,
rebench,camc_rsrc_anchor,all_modes,0.5,0,,
rebench,camc_rsrc_anchor,g01,1.0,0,,
rebench,camc_rsrc_anchor,g012,1.0,0,,
rebench,camc_rsrc_anchor,all_modes,1.0,0,,
rebench,camc_rsrc_anchor,g01,2.0,0,,
rebench,camc_rsrc_anchor,g012,2.0,0,,
rebench,camc_rsrc_anchor,all_modes,2.0,0,,
rebench,camc_sempc_candidate,g01,0.5,0,,
rebench,camc_sempc_candidate,g012,0.5,0,,
rebench,camc_sempc_candidate,all_modes,0.5,0,,
rebench,camc_sempc_candidate,g01,1.0,0,,
rebench,camc_sempc_candidate,g012,1.0,0,,
rebench,camc_sempc_candidate,all_modes,1.0,0,,
rebench,camc_sempc_candidate,g01,2.0,0,,
rebench,camc_sempc_candidate,g012,2.0,0,,
rebench,camc_sempc_candidate,all_modes,2.0,0,,
rebench,camc_static_anchor,g01,0.5,0,,
rebench,camc_static_anchor,g012,0.5,0,,
rebench,camc_static_anchor,all_modes,0.5,0,,
rebench,camc_static_anchor,g01,1.0,0,,
rebench,camc_static_anchor,g012,1.0,0,,
rebench,camc_static_anchor,all_modes,1.0,0,,
rebench,camc_static_anchor,g01,2.0,0,,
rebench,camc_static_anchor,g012,2.0,0,,
rebench,camc_static_anchor,all_modes,2.0,0,,
rebench,oracle_src,g01,0.5,0,,
rebench,oracle_src,g012,0.5,0,,
rebench,oracle_src,all_modes,0.5,0,,
rebench,oracle_src,g01,1.0,0,,
rebench,oracle_src,g012,1.0,0,,
rebench,oracle_src,all_modes,1.0,0,,
rebench,oracle_src,g01,2.0,0,,
rebench,oracle_src,g012,2.0,0,,
rebench,oracle_src,all_modes,2.0,0,,
rebench,pareto_camc_rsrc_anchor,g01,0.5,0,,
rebench,pareto_camc_rsrc_anchor,g012,0.5,0,,
rebench,pareto_camc_rsrc_anchor,all_modes,0.5,0,,
rebench,pareto_camc_rsrc_anchor,g01,1.0,0,,
rebench,pareto_camc_rsrc_anchor,g012,1.0,0,,
rebench,pareto_camc_rsrc_anchor,all_modes,1.0,0,,
rebench,pareto_camc_rsrc_anchor,g01,2.0,0,,
rebench,pareto_camc_rsrc_anchor,g012,2.0,0,,
rebench,pareto_camc_rsrc_anchor,all_modes,2.0,0,,
rebench,pareto_camc_sempc_candidate,g01,0.5,0,,
rebench,pareto_camc_sempc_candidate,g012,0.5,0,,
rebench,pareto_camc_sempc_candidate,all_modes,0.5,0,,
rebench,pareto_camc_sempc_candidate,g01,1.0,0,,
rebench,pareto_camc_sempc_candidate,g012,1.0,0,,
rebench,pareto_camc_sempc_candidate,all_modes,1.0,0,,
rebench,pareto_camc_sempc_candidate,g01,2.0,0,,
rebench,pareto_camc_sempc_candidate,g012,2.0,0,,
rebench,pareto_camc_sempc_candidate,all_modes,2.0,0,,
rebench,pareto_camc_static_anchor,g01,0.5,0,,
rebench,pareto_camc_static_anchor,g012,0.5,0,,
rebench,pareto_camc_static_anchor,all_modes,0.5,0,,
rebench,pareto_camc_static_anchor,g01,1.0,0,,
rebench,pareto_camc_static_anchor,g012,1.0,0,,
rebench,pareto_camc_static_anchor,all_modes,1.0,0,,
rebench,pareto_camc_static_anchor,g01,2.0,0,,
rebench,pareto_camc_static_anchor,g012,2.0,0,,
rebench,pareto_camc_static_anchor,all_modes,2.0,0,,
rebench,rsrc,g01,0.5,0,,
rebench,rsrc,g012,0.5,0,,
rebench,rsrc,all_modes,0.5,0,,
rebench,rsrc,g01,1.0,0,,
rebench,rsrc,g012,1.0,0,,
rebench,rsrc,all_modes,1.0,0,,
rebench,rsrc,g01,2.0,0,,
rebench,rsrc,g012,2.0,0,,
rebench,rsrc,all_modes,2.0,0,,
rebench,se_mpc,g01,0.5,0,,
rebench,se_mpc,g012,0.5,0,,
rebench,se_mpc,all_modes,0.5,0,,
rebench,se_mpc,g01,1.0,0,,
rebench,se_mpc,g012,1.0,0,,
rebench,se_mpc,all_modes,1.0,0,,
rebench,se_mpc,g01,2.0,0,,
rebench,se_mpc,g012,2.0,0,,
rebench,se_mpc,all_modes,2.0,0,,
smith,camc_rsrc_anchor,g01,0.5,0,,
smith,camc_rsrc_anchor,g012,0.5,0,,
smith,camc_rsrc_anchor,all_modes,0.5,0,,
smith,camc_rsrc_anchor,g01,1.0,0,,
smith,camc_rsrc_anchor,g012,1.0,0,,
smith,camc_rsrc_anchor,all_modes,1.0,0,,
smith,camc_rsrc_anchor,g01,2.0,0,,
smith,camc_rsrc_anchor,g012,2.0,0,,
smith,camc_rsrc_anchor,all_modes,2.0,0,,
smith,camc_sempc_candidate,g01,0.5,0,,
smith,camc_sempc_candidate,g012,0.5,0,,
smith,camc_sempc_candidate,all_modes,0.5,0,,
smith,camc_sempc_candidate,g01,1.0,0,,
smith,camc_sempc_candidate,g012,1.0,0,,
smith,camc_sempc_candidate,all_modes,1.0,0,,
smith,camc_sempc_candidate,g01,2.0,0,,
smith,camc_sempc_candidate,g012,2.0,0,,
smith,camc_sempc_candidate,all_modes,2.0,0,,
smith,camc_static_anchor,g01,0.5,0,,
smith,camc_static_anchor,g012,0.5,0,,
smith,camc_static_anchor,all_modes,0.5,0,,
smith,camc_static_anchor,g01,1.0,0,,
smith,camc_static_anchor,g012,1.0,0,,
smith,camc_static_anchor,all_modes,1.0,0,,
smith,camc_static_anchor,g01,2.0,0,,
smith,camc_static_anchor,g012,2.0,0,,
smith,camc_static_anchor,all_modes,2.0,0,,
smith,oracle_src,g01,0.5,24,0.8333333333333334,-0.1873014992870035
smith,oracle_src,g012,0.5,24,0.8333333333333334,-0.18771557815466133
smith,oracle_src,all_modes,0.5,24,0.8333333333333334,-0.18788161960876823
smith,oracle_src,g01,1.0,0,,
smith,oracle_src,g012,1.0,0,,
smith,oracle_src,all_modes,1.0,0,,
smith,oracle_src,g01,2.0,0,,
smith,oracle_src,g012,2.0,0,,
smith,oracle_src,all_modes,2.0,0,,
smith,pareto_camc_rsrc_anchor,g01,0.5,0,,
smith,pareto_camc_rsrc_anchor,g012,0.5,0,,
smith,pareto_camc_rsrc_anchor,all_modes,0.5,0,,
smith,pareto_camc_rsrc_anchor,g01,1.0,0,,
smith,pareto_camc_rsrc_anchor,g012,1.0,0,,
smith,pareto_camc_rsrc_anchor,all_modes,1.0,0,,
smith,pareto_camc_rsrc_anchor,g01,2.0,0,,
smith,pareto_camc_rsrc_anchor,g012,2.0,0,,
smith,pareto_camc_rsrc_anchor,all_modes,2.0,0,,
smith,pareto_camc_sempc_candidate,g01,0.5,0,,
smith,pareto_camc_sempc_candidate,g012,0.5,0,,
smith,pareto_camc_sempc_candidate,all_modes,0.5,0,,
smith,pareto_camc_sempc_candidate,g01,1.0,0,,
smith,pareto_camc_sempc_candidate,g012,1.0,0,,
smith,pareto_camc_sempc_candidate,all_modes,1.0,0,,
smith,pareto_camc_sempc_candidate,g01,2.0,0,,
smith,pareto_camc_sempc_candidate,g012,2.0,0,,
smith,pareto_camc_sempc_candidate,all_modes,2.0,0,,
smith,pareto_camc_static_anchor,g01,0.5,0,,
smith,pareto_camc_static_anchor,g012,0.5,0,,
smith,pareto_camc_static_anchor,all_modes,0.5,0,,
smith,pareto_camc_static_anchor,g01,1.0,0,,
smith,pareto_camc_static_anchor,g012,1.0,0,,
smith,pareto_camc_static_anchor,all_modes,1.0,0,,
smith,pareto_camc_static_anchor,g01,2.0,0,,
smith,pareto_camc_static_anchor,g012,2.0,0,,
smith,pareto_camc_static_anchor,all_modes,2.0,0,,
smith,rsrc,g01,0.5,25,0.88,-0.18179533143413745
smith,rsrc,g012,0.5,25,0.88,-0.1821346825921718
smith,rsrc,all_modes,0.5,25,0.88,-0.1822765206445427
smith,rsrc,g01,1.0,0,,
smith,rsrc,g012,1.0,0,,
smith,rsrc,all_modes,1.0,0,,
smith,rsrc,g01,2.0,0,,
smith,rsrc,g012,2.0,0,,
smith,rsrc,all_modes,2.0,0,,
smith,se_mpc,g01,0.5,25,0.88,-0.18179533143413745
smith,se_mpc,g012,0.5,25,0.88,-0.1821346825921718
smith,se_mpc,all_modes,0.5,25,0.88,-0.1822765206445427
smith,se_mpc,g01,1.0,0,,
smith,se_mpc,g012,1.0,0,,
smith,se_mpc,all_modes,1.0,0,,
smith,se_mpc,g01,2.0,0,,
smith,se_mpc,g012,2.0,0,,
smith,se_mpc,all_modes,2.0,0,,
test,camc_rsrc_anchor,g01,0.5,0,,
test,camc_rsrc_anchor,g012,0.5,0,,
test,camc_rsrc_anchor,all_modes,0.5,0,,
test,camc_rsrc_anchor,g01,1.0,0,,
test,camc_rsrc_anchor,g012,1.0,0,,
test,camc_rsrc_anchor,all_modes,1.0,0,,
test,camc_rsrc_anchor,g01,2.0,0,,
test,camc_rsrc_anchor,g012,2.0,0,,
