dataset,controller,headroom_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,rows
rebench,adaptive_threshold,<=0,-0.13892500717477127,0.002545407991280162,0.9014084507042254,0.0,71
rebench,adaptive_threshold,"(0,0.03]",-0.24106210295563213,-1.6234817973039018e-05,1.0,0.02702702702702703,37
rebench,adaptive_threshold,"(0.03,0.08]",-0.26076897300652174,-1.836302434719108e-05,1.0,0.011363636363636364,88
rebench,adaptive_threshold,"(0.08,0.15]",-0.3285207960344708,-0.0003017991781983459,1.0,0.019801980198019802,202
rebench,adaptive_threshold,>0.15,-0.37533284613066964,-0.0011523911664438273,1.0,0.0196078431372549,102
rebench,always_verify,<=0,-0.04541826520807275,0.009979834938483947,0.7333333333333333,0.0,15
rebench,always_verify,"(0,0.03]",-0.220780237542022,0.0,1.0,0.0,7
rebench,always_verify,"(0.03,0.08]",-0.253494750893353,0.0,1.0,0.0,24
rebench,always_verify,"(0.08,0.15]",-0.33142119196559094,-0.0010723924924702646,1.0,0.018018018018018018,111
rebench,always_verify,>0.15,-0.35942034475622164,-8.939346184565546e-05,1.0,0.008746355685131196,343
rebench,always_verify_throttle,<=0,-0.04643547711898379,0.009975143057341426,0.7333333333333333,0.0,15
rebench,always_verify_throttle,"(0,0.03]",-0.22665448693216728,0.0,1.0,0.0,6
rebench,always_verify_throttle,"(0.03,0.08]",-0.25253458651821065,0.0,1.0,0.0,25
rebench,always_verify_throttle,"(0.08,0.15]",-0.3246207116387787,-0.001133194455153117,1.0,0.01904761904761905,105
rebench,always_verify_throttle,>0.15,-0.35761370634289047,-8.779864776230407e-05,1.0,0.008595988538681949,349
rebench,camc_rsrc_anchor,<=0,-0.06370813370484703,0.007493387807781101,0.7894736842105263,0.0,19
rebench,camc_rsrc_anchor,"(0,0.03]",-0.21950299167889958,0.0,1.0,0.0,10
rebench,camc_rsrc_anchor,"(0.03,0.08]",-0.26370107756506317,0.0,1.0,0.0,41
rebench,camc_rsrc_anchor,"(0.08,0.15]",-0.3409814166810124,-1.9871093195028893e-05,1.0,0.0055248618784530384,181
rebench,camc_rsrc_anchor,>0.15,-0.3833597934461069,-0.0005573401625684365,1.0,0.01606425702811245,249
rebench,camc_sempc_candidate,<=0,-0.0579104453556958,0.007754608536082283,0.7894736842105263,0.0,19
rebench,camc_sempc_candidate,"(0,0.03]",-0.24469958915828205,0.0,1.0,0.0,22
rebench,camc_sempc_candidate,"(0.03,0.08]",-0.2586792618254703,0.0,1.0,0.0,45
rebench,camc_sempc_candidate,"(0.08,0.15]",-0.3373984140549709,-8.433173486101136e-05,1.0,0.010309278350515464,194
rebench,camc_sempc_candidate,>0.15,-0.3848543515922854,-0.0005953509346478507,1.0,0.013636363636363636,220
rebench,camc_static_anchor,<=0,-0.05676096961892954,0.007680908602622807,0.7647058823529411,0.0,17
rebench,camc_static_anchor,"(0,0.03]",-0.21745849983511625,0.0,1.0,0.0,10
rebench,camc_static_anchor,"(0.03,0.08]",-0.27890482210871886,0.0,1.0,0.0,32
rebench,camc_static_anchor,"(0.08,0.15]",-0.3228792945452674,-1.4552611870180474e-05,1.0,0.0078125,128
rebench,camc_static_anchor,>0.15,-0.37293549148987504,-0.00041122272180576564,1.0,0.012779552715654952,313
rebench,greedy_myopic,<=0,-0.20763986663113418,0.001404969543621032,0.9444444444444444,0.007936507936507936,126
rebench,greedy_myopic,"(0,0.03]",-0.2932295379970782,-7.784100805180125e-06,1.0,0.015873015873015872,63
rebench,greedy_myopic,"(0.03,0.08]",-0.3301092140962493,0.0,1.0,0.0,108
rebench,greedy_myopic,"(0.08,0.15]",-0.3643402790320585,-0.0011996185104629915,1.0,0.034482758620689655,145
rebench,greedy_myopic,>0.15,-0.41238489428736264,-4.467379531706781e-05,1.0,0.017241379310344827,58
rebench,headroom_only,<=0,-0.0406780059152064,0.008775771846004645,0.75,0.0,16
rebench,headroom_only,"(0,0.03]",-0.21540132529296965,0.0,1.0,0.0,6
rebench,headroom_only,"(0.03,0.08]",-0.25782380856591397,0.0,1.0,0.0,33
rebench,headroom_only,"(0.08,0.15]",-0.33067744043420594,-2.484762673463629e-05,1.0,0.007142857142857143,140
rebench,headroom_only,>0.15,-0.38258127604620423,-0.00044896289112532865,1.0,0.013114754098360656,305
rebench,maxweight_backlog,<=0,-0.051757246317370005,0.008111146860374018,0.7647058823529411,0.0,17
rebench,maxweight_backlog,"(0,0.03]",-0.22042852044668274,0.0,1.0,0.0,11
rebench,maxweight_backlog,"(0.03,0.08]",-0.26762896816191967,0.0,1.0,0.0,35
rebench,maxweight_backlog,"(0.08,0.15]",-0.33370953958055616,-1.9143905726918422e-05,1.0,0.006329113924050633,158
rebench,maxweight_backlog,>0.15,-0.3820829579515597,-0.00048338623484410454,1.0,0.014336917562724014,279
rebench,minimal_verify,<=0,-0.05564265452764326,9.226472515806601e-05,0.8782961460446247,0.19675456389452334,493
rebench,minimal_verify,"(0,0.03]",-0.27050019598418895,0.0,1.0,0.0,2
rebench,minimal_verify,"(0.03,0.08]",-0.42709090812073636,0.0,1.0,0.0,3
rebench,minimal_verify,>0.15,-0.5693483790003357,0.0,1.0,0.0,2
rebench,oracle_src,<=0,-0.01636830283994526,0.011001472667424968,0.68,0.0,25
rebench,oracle_src,"(0,0.03]",-0.12972151320366454,0.0,1.0,0.0,14
rebench,oracle_src,"(0.03,0.08]",-0.17532567911835648,-4.8456603778587306e-05,1.0,0.02702702702702703,37
rebench,oracle_src,"(0.08,0.15]",-0.23614861760577607,-0.00021801709386414826,1.0,0.01910828025477707,157
rebench,oracle_src,>0.15,-0.31932401190645954,-0.0008951881595848132,1.0,0.018726591760299626,267
rebench,pareto_camc_rsrc_anchor,<=0,-0.04999104280013583,0.008281619938568414,0.7647058823529411,0.0,17
rebench,pareto_camc_rsrc_anchor,"(0,0.03]",-0.21067985629669037,0.0,1.0,0.0,12
rebench,pareto_camc_rsrc_anchor,"(0.03,0.08]",-0.27054252968928244,0.0,1.0,0.0,36
rebench,pareto_camc_rsrc_anchor,"(0.08,0.15]",-0.34310116695733545,-2.0092356160798797e-05,1.0,0.00558659217877095,179
rebench,pareto_camc_rsrc_anchor,>0.15,-0.38361413282053597,-0.0005359023718862502,1.0,0.015625,256
rebench,pareto_camc_sempc_candidate,<=0,-0.05983762750509348,0.007989214673560266,0.7647058823529411,0.0,17
rebench,pareto_camc_sempc_candidate,"(0,0.03]",-0.21587194049770794,0.0,1.0,0.0,9
rebench,pareto_camc_sempc_candidate,"(0.03,0.08]",-0.2746733055530508,0.0,1.0,0.0,31
