dataset,controller,headroom_bin,L_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,benchmark_safe_rate,rows
rebench,adaptive_threshold,<=0,<=0.5,-0.13892500717477127,0.002545407991280162,0.9014084507042254,0.0,0.2535211267605634,71
rebench,adaptive_threshold,"(0,0.03]",<=0.5,-0.24106210295563213,-1.6234817973039018e-05,1.0,0.02702702702702703,0.4864864864864865,37
rebench,adaptive_threshold,"(0.03,0.08]",<=0.5,-0.26076897300652174,-1.836302434719108e-05,1.0,0.011363636363636364,0.48863636363636365,88
rebench,adaptive_threshold,"(0.08,0.15]",<=0.5,-0.3285207960344708,-0.0003017991781983459,1.0,0.019801980198019802,0.7574257425742574,202
rebench,adaptive_threshold,>0.15,<=0.5,-0.37533284613066964,-0.0011523911664438273,1.0,0.0196078431372549,0.7745098039215687,102
rebench,always_verify,<=0,<=0.5,-0.04541826520807275,0.009979834938483947,0.7333333333333333,0.0,0.06666666666666667,15
rebench,always_verify,"(0,0.03]",<=0.5,-0.220780237542022,0.0,1.0,0.0,0.2857142857142857,7
rebench,always_verify,"(0.03,0.08]",<=0.5,-0.253494750893353,0.0,1.0,0.0,0.25,24
rebench,always_verify,"(0.08,0.15]",<=0.5,-0.33142119196559094,-0.0010723924924702646,1.0,0.018018018018018018,0.35135135135135137,111
rebench,always_verify,>0.15,<=0.5,-0.35942034475622164,-8.939346184565546e-05,1.0,0.008746355685131196,0.3556851311953353,343
rebench,always_verify_throttle,<=0,<=0.5,-0.04643547711898379,0.009975143057341426,0.7333333333333333,0.0,0.06666666666666667,15
rebench,always_verify_throttle,"(0,0.03]",<=0.5,-0.22665448693216728,0.0,1.0,0.0,0.3333333333333333,6
rebench,always_verify_throttle,"(0.03,0.08]",<=0.5,-0.25253458651821065,0.0,1.0,0.0,0.28,25
rebench,always_verify_throttle,"(0.08,0.15]",<=0.5,-0.3246207116387787,-0.001133194455153117,1.0,0.01904761904761905,0.3619047619047619,105
rebench,always_verify_throttle,>0.15,<=0.5,-0.35761370634289047,-8.779864776230407e-05,1.0,0.008595988538681949,0.39255014326647564,349
rebench,camc_rsrc_anchor,<=0,<=0.5,-0.06370813370484703,0.007493387807781101,0.7894736842105263,0.0,0.2631578947368421,19
rebench,camc_rsrc_anchor,"(0,0.03]",<=0.5,-0.21950299167889958,0.0,1.0,0.0,0.2,10
rebench,camc_rsrc_anchor,"(0.03,0.08]",<=0.5,-0.26370107756506317,0.0,1.0,0.0,0.36585365853658536,41
rebench,camc_rsrc_anchor,"(0.08,0.15]",<=0.5,-0.3409814166810124,-1.9871093195028893e-05,1.0,0.0055248618784530384,0.6906077348066298,181
rebench,camc_rsrc_anchor,>0.15,<=0.5,-0.3833597934461069,-0.0005573401625684365,1.0,0.01606425702811245,0.6947791164658634,249
rebench,camc_sempc_candidate,<=0,<=0.5,-0.0579104453556958,0.007754608536082283,0.7894736842105263,0.0,0.42105263157894735,19
rebench,camc_sempc_candidate,"(0,0.03]",<=0.5,-0.24469958915828205,0.0,1.0,0.0,0.36363636363636365,22
rebench,camc_sempc_candidate,"(0.03,0.08]",<=0.5,-0.2586792618254703,0.0,1.0,0.0,0.5111111111111111,45
