dataset,controller,adverse_rows,adverse_negative_drift_rate,adverse_negative_delta_sq_rate,adverse_mean_drift,adverse_high_load_rows,adverse_high_load_negative_drift_rate,benign_rows,benign_benchmark_safe_rate,benign_mean_exact_headroom
rebench,camc_rsrc_anchor,19,0.7894736842105263,0.0,-0.06370813370484703,0,,481,0.6548856548856549,0.25709415691036813
rebench,camc_sempc_candidate,19,0.7894736842105263,0.0,-0.0579104453556958,0,,481,0.6943866943866944,0.2456058610791075
rebench,camc_static_anchor,17,0.7647058823529411,0.0,-0.05676096961892955,0,,483,0.7391304347826086,0.27630692310662824
rebench,oracle_src,25,0.68,0.0,-0.01636830283994526,0,,475,0.4652631578947368,0.15760651666484615
rebench,pareto_camc_rsrc_anchor,17,0.7647058823529411,0.0,-0.04999104280013583,0,,483,0.6459627329192547,0.25916873944790514
rebench,pareto_camc_sempc_candidate,17,0.7647058823529411,0.0,-0.05983762750509348,0,,483,0.6935817805383023,0.27507371968662053
rebench,pareto_camc_static_anchor,17,0.7647058823529411,0.0,-0.0568103075491226,0,,483,0.7391304347826086,0.2762440284190571
rebench,rsrc,17,0.7647058823529411,0.0,-0.04999104280013583,0,,483,0.6459627329192547,0.25916873944790514
rebench,se_mpc,17,0.7647058823529411,0.0,-0.0499285851619134,0,,483,0.6459627329192547,0.25895690473790045
smith,camc_rsrc_anchor,145,0.45517241379310347,0.13793103448275862,0.07354235219762434,13,0.6923076923076923,355,0.3436619718309859,0.22184724511549211
smith,camc_sempc_candidate,145,0.45517241379310347,0.13793103448275862,0.07354235219762434,13,0.6923076923076923,355,0.3436619718309859,0.22184724511549211
smith,camc_static_anchor,143,0.46153846153846156,0.13986013986013987,0.07672985085698776,12,0.75,357,0.3333333333333333,0.22602914201425736
smith,oracle_src,112,0.2857142857142857,0.0625,0.14965248910851264,5,0.2,388,0.4381443298969072,0.18962849807957077
smith,pareto_camc_rsrc_anchor,143,0.46153846153846156,0.13986013986013987,0.07667268990010372,12,0.75,357,0.32492997198879553,0.22587346192948993
smith,pareto_camc_sempc_candidate,143,0.46153846153846156,0.13986013986013987,0.07667268990010372,12,0.75,357,0.32492997198879553,0.22587346192948993
smith,pareto_camc_static_anchor,143,0.46153846153846156,0.13986013986013987,0.07672985085698776,12,0.75,357,0.3333333333333333,0.22602914201425736
smith,rsrc,143,0.44755244755244755,0.13286713286713286,0.07749623018786507,12,0.6666666666666666,357,0.2969187675070028,0.22364194744865115
smith,se_mpc,143,0.44755244755244755,0.13286713286713286,0.07749623018786507,12,0.6666666666666666,357,0.2969187675070028,0.22364194744865115
test,camc_rsrc_anchor,19,0.8947368421052632,0.0,-0.13230054445545272,0,,481,0.604989604989605,0.2548027123549849
test,camc_sempc_candidate,22,0.9090909090909091,0.0,-0.13598381122250816,0,,478,0.6380753138075314,0.24339476139418864
test,camc_static_anchor,19,0.8947368421052632,0.0,-0.13579494833539596,0,,481,0.6611226611226612,0.2668636899987398
test,oracle_src,16,0.8125,0.0,-0.019806557395584377,0,,484,0.6157024793388429,0.1581629775038268
test,pareto_camc_rsrc_anchor,19,0.8947368421052632,0.0,-0.13235647231478062,0,,481,0.604989604989605,0.25612071904510864
test,pareto_camc_sempc_candidate,19,0.8947368421052632,0.0,-0.13548088336905262,0,,481,0.6174636174636174,0.2680967689345813
test,pareto_camc_static_anchor,19,0.8947368421052632,0.0,-0.13619662070230115,0,,481,0.6756756756756757,0.26907756031637875
test,rsrc,19,0.8947368421052632,0.0,-0.13235647231478062,0,,481,0.604989604989605,0.25612071904510864
test,se_mpc,19,0.8947368421052632,0.0,-0.13235993881789362,0,,481,0.6091476091476091,0.25528973605250643
verified,camc_rsrc_anchor,11,1.0,0.0,-0.16004047099983437,0,,489,0.656441717791411,0.25711277958272555
verified,camc_sempc_candidate,13,1.0,0.0,-0.1624015577104205,0,,487,0.6817248459958932,0.24505590728922277
verified,camc_static_anchor,10,1.0,0.0,-0.16209083954822487,0,,490,0.7326530612244898,0.27375660167876936
verified,oracle_src,16,0.75,0.0,-0.06021621291092742,0,,484,0.44834710743801653,0.1448296368410505
verified,pareto_camc_rsrc_anchor,11,1.0,0.0,-0.1600461190723327,0,,489,0.6605316973415133,0.2591858754305378
verified,pareto_camc_sempc_candidate,10,1.0,0.0,-0.15969674486692848,0,,490,0.6857142857142857,0.27297599947012086
verified,pareto_camc_static_anchor,10,1.0,0.0,-0.1622223949736124,0,,490,0.736734693877551,0.27470069667479047
verified,rsrc,11,1.0,0.0,-0.1600461190723327,0,,489,0.6605316973415133,0.2591858754305378
verified,se_mpc,11,1.0,0.0,-0.1600461245139337,0,,489,0.6605316973415133,0.25874901833100583
