dataset,controller,epsilon_s,load_threshold,rows,mean_drift,mean_drift_ci_low,mean_drift_ci_high,negative_drift_rate,negative_drift_rate_ci_low,negative_drift_rate_ci_high,mean_delta_sq,mean_delta_sq_ci_low,mean_delta_sq_ci_high,negative_delta_sq_rate,negative_delta_sq_rate_ci_low,negative_delta_sq_rate_ci_high,mean_certified_headroom,mean_exact_headroom
rebench,camc_rsrc_anchor,0.0,0.35,0,,,,,,,,,,,,,,
rebench,camc_rsrc_anchor,0.0,0.5,0,,,,,,,,,,,,,,
rebench,camc_rsrc_anchor,0.0,1.0,0,,,,,,,,,,,,,,
rebench,camc_rsrc_anchor,0.03,0.35,0,,,,,,,,,,,,,,
rebench,camc_rsrc_anchor,0.03,0.5,0,,,,,,,,,,,,,,
rebench,camc_rsrc_anchor,0.03,1.0,0,,,,,,,,,,,,,,
rebench,camc_rsrc_anchor,0.08,0.35,0,,,,,,,,,,,,,,
rebench,camc_rsrc_anchor,0.08,0.5,0,,,,,,,,,,,,,,
rebench,camc_rsrc_anchor,0.08,1.0,0,,,,,,,,,,,,,,
rebench,camc_sempc_candidate,0.0,0.35,0,,,,,,,,,,,,,,
rebench,camc_sempc_candidate,0.0,0.5,0,,,,,,,,,,,,,,
rebench,camc_sempc_candidate,0.0,1.0,0,,,,,,,,,,,,,,
rebench,camc_sempc_candidate,0.03,0.35,0,,,,,,,,,,,,,,
rebench,camc_sempc_candidate,0.03,0.5,0,,,,,,,,,,,,,,
rebench,camc_sempc_candidate,0.03,1.0,0,,,,,,,,,,,,,,
rebench,camc_sempc_candidate,0.08,0.35,0,,,,,,,,,,,,,,
rebench,camc_sempc_candidate,0.08,0.5,0,,,,,,,,,,,,,,
rebench,camc_sempc_candidate,0.08,1.0,0,,,,,,,,,,,,,,
rebench,camc_static_anchor,0.0,0.35,0,,,,,,,,,,,,,,
rebench,camc_static_anchor,0.0,0.5,0,,,,,,,,,,,,,,
rebench,camc_static_anchor,0.0,1.0,0,,,,,,,,,,,,,,
